# {"t_start": 1557364386.7165623, "env_id": "DeepCars-v0"} 
r,l,t
-981,20,3.6524
-993,8,3.980041
-993,8,4.300687
-993,8,4.620413
-992,9,4.971791
-978,23,5.751321
-981,20,6.431764
-993,8,6.734556
-985,16,7.269057
-988,13,7.713627
-989,12,8.134389
-991,10,8.495369
-993,8,8.801773
-985,16,9.335344
-987,14,9.818073
-990,11,10.218598
-992,9,10.546255
-987,14,11.022826
-988,13,11.476938
-992,9,11.810516
-990,11,12.207223
-985,16,12.737054
-993,8,13.036866
-992,9,13.373755
-993,8,13.677541
-989,12,14.094686
-992,9,14.428969
-988,13,14.883202
-992,9,15.2154
-993,8,15.516134
-984,17,16.085938
-992,9,16.429418
-980,21,17.13457
-992,9,17.473181
-982,19,18.096442
-989,12,18.513656
-991,10,18.875353
-985,16,19.404958
-987,14,19.887425
-989,12,20.304381
-993,8,20.613817
-985,16,21.15167
-986,15,21.653165
-991,10,22.019381
-992,9,22.349243
-992,9,22.680744
-992,9,23.022704
-993,8,23.326602
-986,15,23.833944
-991,10,24.199454
-990,11,24.594865
-988,13,25.040077
-988,13,25.480501
-992,9,25.807571
-988,13,26.25678
-988,13,26.700521
-993,8,26.999393
-990,11,27.385417
-992,9,27.71973
-991,10,28.072208
-992,9,28.403969
-984,17,28.972198
-989,12,29.392776
-982,19,30.012964
-987,14,30.490435
-989,12,30.903796
-993,8,31.210623
-992,9,31.536882
-987,14,32.006785
-991,10,32.3707
-992,9,32.700389
-990,11,33.090002
-992,9,33.423791
-992,9,33.752407
-989,12,34.166276
-992,9,34.496707
-982,19,35.10875
-990,11,35.500521
-992,9,35.823858
-993,8,36.129358
-982,19,36.73925
-990,11,37.119884
-992,9,37.453919
-983,18,38.042523
-993,8,38.880634
-992,9,40.605303
-993,8,42.148151
-992,9,43.872159
-992,9,45.602746
-993,8,47.152865
-992,9,48.889592
-991,10,50.793596
-991,10,52.730242
-990,11,54.831757
-988,13,57.373907
-992,9,59.138964
-984,17,62.401252
-993,8,63.969266
-993,8,65.542079
-993,8,67.108403
-992,9,68.87024
-971,30,74.548982
-993,8,76.126663
-993,8,77.696188
-988,13,80.194903
-990,11,82.314168
-992,9,84.070821
-993,8,85.635277
-992,9,87.393291
-993,8,88.965348
-990,11,91.092094
-992,9,92.837917
-991,10,94.767572
-992,9,96.521909
-984,17,99.756282
-991,10,101.682163
-984,17,104.910091
-992,9,106.752245
-993,8,108.378575
-985,16,111.559774
-990,11,113.779119
-990,11,115.999457
-988,13,118.48199
-993,8,120.057157
-979,22,124.18586
-989,12,126.453385
-990,11,128.543655
-990,11,130.64835
-991,10,132.564926
-986,15,135.432469
-989,12,137.707932
-992,9,139.452069
-993,8,141.016966
-988,13,143.48805
-992,9,145.215538
-992,9,146.963055
-990,11,149.054664
-991,10,150.972488
-990,11,153.073722
-993,8,154.625916
-989,12,156.952498
-991,10,158.906763
-982,19,162.558836
-988,13,165.087177
-991,10,167.048204
-989,12,169.358238
-992,9,171.099165
-989,12,173.414617
-991,10,175.351086
-989,12,177.649969
-985,16,180.692114
-980,21,184.672875
-987,14,187.352829
-969,32,193.328664
-992,9,195.097881
-992,9,196.845372
-991,10,198.794799
-987,14,201.485314
-988,13,203.994579
-990,11,206.125095
-991,10,208.082207
-979,22,212.263048
-992,9,214.043786
-987,14,216.838631
-993,8,218.47615
-985,16,221.595705
-993,8,223.145518
-990,11,225.24558
-987,14,227.930854
-983,18,231.352005
-990,11,233.486875
-993,8,235.058038
-993,8,236.692347
