# {"t_start": 1558128619.0517778, "env_id": "DeepCars-v0"} 
r,l,t
8,10,0.793884
6,8,0.801284
15,17,0.81695
7,9,0.825366
7,9,0.833655
8,10,0.843397
18,20,0.861574
6,8,0.868713
6,8,0.876181
17,19,0.892586
12,14,0.906001
15,17,0.923123
21,23,0.946012
6,8,0.954244
7,9,0.963486
6,8,0.971333
9,11,0.98248
8,10,0.992396
8,10,1.002371
12,14,1.016337
6,8,1.025074
11,13,1.03895
7,9,1.048458
12,14,1.063209
8,10,1.073906
10,12,1.086468
13,15,1.101416
13,15,1.116811
6,8,1.125018
18,20,1.14588
9,11,1.157587
6,8,1.165414
10,12,1.178046
9,11,1.190096
7,9,1.199488
6,8,1.208045
11,13,1.221749
6,8,1.229929
8,10,1.24054
6,8,1.248835
7,9,1.25871
11,13,1.272284
12,14,1.28831
11,13,1.303037
10,12,1.315633
6,8,1.323636
6,8,1.331553
6,8,1.339674
9,11,1.350621
7,9,1.359507
7,9,1.368822
6,8,1.37748
11,13,1.390662
7,9,1.399847
18,20,1.420731
6,8,1.428967
6,8,1.437599
8,10,1.447837
14,16,1.464571
13,15,1.479852
6,8,1.488614
7,9,1.497579
6,8,1.505609
6,8,1.513715
7,9,1.522962
10,12,1.535694
6,8,1.544575
15,17,1.562852
8,10,1.573682
7,9,1.582839
6,8,1.591497
12,14,1.606008
10,12,1.618982
6,8,1.627451
16,18,1.64617
20,22,1.669028
7,9,1.678848
12,14,1.69367
6,8,1.702128
7,9,1.712049
6,8,1.720768
22,24,1.746561
7,9,1.756482
7,9,1.766279
17,19,1.78639
7,9,1.796007
6,8,1.804348
11,13,1.878702
17,19,1.952048
10,12,1.998394
7,9,2.033395
7,9,2.068548
6,8,2.10003
25,27,2.204617
11,13,2.254525
13,15,2.313579
6,8,2.344964
11,13,2.396451
14,16,2.458204
7,9,2.493597
13,15,2.552569
7,9,2.588823
6,8,2.620553
7,9,2.655736
6,8,2.687853
7,9,2.724402
26,28,2.83431
8,10,2.874878
6,8,2.907309
6,8,2.939486
8,10,2.979439
26,28,3.089631
11,13,3.140527
17,19,3.214409
6,8,3.24547
18,20,3.328182
6,8,3.359553
13,15,3.418565
9,11,3.461563
14,16,3.523755
16,18,3.596235
6,8,3.627683
11,13,3.678373
6,8,3.710439
11,13,3.762032
9,11,3.805696
7,9,3.842247
17,19,3.916931
12,14,3.972684
7,9,4.00847
8,10,4.04812
17,19,4.122427
6,8,4.153474
7,9,4.18836
6,8,4.220157
16,18,4.288406
9,11,4.33056
6,8,4.362484
8,10,4.40151
17,19,4.476301
12,14,4.530678
10,12,4.577258
9,11,4.62119
14,16,4.684316
7,9,4.720396
6,8,4.752724
10,12,4.800876
6,8,4.833657
21,23,4.925406
7,9,4.961977
7,9,4.998016
6,8,5.030477
12,14,5.086512
7,9,5.122407
6,8,5.154175
7,9,5.189932
6,8,5.221229
8,10,5.260967
6,8,5.292099
6,8,5.323642
8,10,5.363393
7,9,5.398728
7,9,5.433471
15,17,5.499475
8,10,5.538556
6,8,5.569761
9,11,5.614195
10,12,5.660582
19,21,5.742582
13,15,5.801593
8,10,5.842493
11,13,5.893832
8,10,5.933958
6,8,5.965216
6,8,5.997049
11,13,6.048445
10,12,6.095436
6,8,6.127336
6,8,6.159346
22,24,6.253362
7,9,6.289358
11,13,6.340493
12,14,6.39467
8,10,6.43362
6,8,6.465343
6,8,6.496833
12,14,6.552304
14,16,6.61464
14,16,6.67662
9,11,6.720238
13,15,6.781272
6,8,6.812585
7,9,6.848726
8,10,6.888364
13,15,6.947575
8,10,6.987538
6,8,7.019653
7,9,7.054674
9,11,7.097411
8,10,7.136531
15,17,7.203592
10,12,7.251353
14,16,7.314521
26,28,7.426405
7,9,7.462469
6,8,7.494384
25,27,7.59873
22,24,7.693113
8,10,7.733561
9,11,7.77701
26,28,7.888257
12,14,7.942861
6,8,7.974542
8,10,8.014416
12,14,8.069414
7,9,8.105428
6,8,8.136358
13,15,8.193851
19,21,8.274695
8,10,8.313925
6,8,8.344649
6,8,8.375615
15,17,8.443631
6,8,8.475564
6,8,8.507329
12,14,8.56239
7,9,8.598174
7,9,8.634546
6,8,8.666437
9,11,8.710373
6,8,8.742037
9,11,8.786255
11,13,8.838804
21,23,8.938025
14,16,9.003096
12,14,9.059393
6,8,9.091535
10,12,9.138528
7,9,9.174502
16,18,9.244336
9,11,9.287444
12,14,9.342522
6,8,9.374571
8,10,9.413871
7,9,9.45154
7,9,9.487425
6,8,9.519383
13,15,9.578879
6,8,9.610655
12,14,9.665923
15,17,9.732719
16,18,9.804469
9,11,9.848823
9,11,9.892874
9,11,9.937
7,9,9.972805
12,14,10.028684
6,8,10.060392
22,24,10.160748
6,8,10.1923
6,8,10.223345
15,17,10.288997
9,11,10.331959
8,10,10.370701
7,9,10.406452
9,11,10.449347
7,9,10.485211
12,14,10.540595
11,13,10.591394
16,18,10.66346
6,8,10.695572
17,19,10.771766
6,8,10.803656
8,10,10.84383
12,14,10.899834
9,11,10.943691
11,13,10.994875
9,11,11.038674
16,18,11.10836
6,8,11.139435
11,13,11.19022
6,8,11.221864
11,13,11.273828
8,10,11.315883
16,18,11.38936
20,22,11.477403
6,8,11.508565
8,10,11.547856
13,15,11.605363
15,17,11.67247
18,20,11.755631
17,19,11.830312
13,15,11.890014
6,8,11.921792
8,10,11.961449
7,9,11.997028
6,8,12.028183
8,10,12.066794
7,9,12.101326
23,25,12.196227
15,17,12.260843
6,8,12.291718
13,15,12.349313
10,12,12.396255
7,9,12.43182
12,14,12.486414
9,11,12.529959
6,8,12.56113
20,22,12.64728
12,14,12.702767
6,8,12.734375
6,8,12.765526
7,9,12.800767
6,8,12.832469
12,14,12.888367
9,11,12.932394
7,9,12.968847
6,8,13.000406
13,15,13.059909
32,34,13.192421
6,8,13.224434
11,13,13.275318
6,8,13.306885
11,13,13.357553
9,11,13.400738
7,9,13.4354
16,18,13.505465
16,18,13.575089
13,15,13.632707
7,9,13.668541
7,9,13.704258
10,12,13.751396
7,9,13.786644
11,13,13.837343
15,17,13.904496
6,8,13.936468
9,11,13.980671
6,8,14.012793
9,11,14.056042
10,12,14.10256
11,13,14.1525
7,9,14.186786
9,11,14.235538
14,16,14.29746
7,9,14.332238
10,12,14.378858
6,8,14.410532
15,17,14.476816
6,8,14.508319
8,10,14.546988
11,13,14.598176
17,19,14.672324
7,9,14.707967
7,9,14.743313
7,9,14.778786
12,14,14.833789
14,16,14.897361
13,15,14.95667
19,21,15.039211
8,10,15.078449
8,10,15.118348
10,12,15.165202
9,11,15.207519
8,10,15.245743
12,14,15.300321
14,16,15.3629
7,9,15.398027
22,24,15.489373
17,19,15.56359
9,11,15.606051
6,8,15.637647
6,8,15.669318
7,9,15.704849
14,16,15.767725
12,14,15.822612
6,8,15.854806
8,10,15.894617
12,14,15.949266
8,10,15.989368
8,10,16.028785
8,10,16.067445
7,9,16.102878
10,12,16.149246
7,9,16.184358
6,8,16.215718
14,16,16.278658
8,10,16.317417
15,17,16.383339
8,10,16.422685
12,14,16.477113
16,18,16.547591
6,8,16.579615
6,8,16.611433
12,14,16.666342
13,15,16.724876
6,8,16.756297
8,10,16.795799
8,10,16.836393
15,17,16.904253
6,8,16.936664
6,8,16.968956
6,8,17.000704
11,13,17.052688
9,11,17.095704
13,15,17.154668
12,14,17.208993
14,16,17.272432
7,9,17.308617
6,8,17.340398
6,8,17.371753
13,15,17.430307
10,12,17.476317
12,14,17.530831
6,8,17.562414
31,33,17.690077
6,8,17.721746
12,14,17.77643
16,18,17.846972
7,9,17.883344
8,10,17.922375
9,11,17.966157
6,8,17.997647
7,9,18.033046
17,19,18.112944
7,9,18.148864
6,8,18.18023
15,17,18.246426
12,14,18.300264
8,10,18.339085
16,18,18.408581
8,10,18.448118
22,24,18.541631
7,9,18.576683
16,18,18.646366
10,12,18.693354
6,8,18.724289
10,12,18.771011
8,10,18.810382
15,17,18.877185
8,10,18.916334
20,22,19.002774
7,9,19.03813
14,16,19.101445
17,19,19.174201
7,9,19.209273
7,9,19.243926
19,21,19.324301
12,14,19.378289
6,8,19.40934
7,9,19.444488
11,13,19.494735
9,11,19.537431
6,8,19.568681
12,14,19.624237
13,15,19.682377
7,9,19.717922
6,8,19.74924
11,13,19.800339
11,13,19.851322
10,12,19.898663
7,9,19.93413
7,9,19.969332
8,10,20.008459
13,15,20.066827
6,8,20.098117
9,11,20.140462
12,14,20.193275
11,13,20.2423
9,11,20.285177
10,12,20.33077
7,9,20.366581
21,23,20.455309
6,8,20.486337
9,11,20.529391
8,10,20.568569
9,11,20.611353
6,8,20.643355
7,9,20.67885
25,27,20.784443
10,12,20.832754
7,9,20.868854
10,12,20.916425
7,9,20.9525
6,8,20.984805
8,10,21.024601
