# {"t_start": 1558584156.513831, "env_id": "DeepCars-v1"} 
r,l,t
9,11,0.849076
8,10,0.857362
8,10,0.865812
9,11,0.875253
24,26,0.896497
7,9,0.903404
7,9,0.910379
8,10,0.917723
6,8,0.924234
14,16,0.936231
11,13,0.946065
20,22,0.962142
16,18,0.976123
9,11,0.984624
12,14,0.994943
6,8,1.001048
15,17,1.013225
17,19,1.028234
6,8,1.034691
7,9,1.041754
9,11,1.049755
16,18,1.063232
11,13,1.073273
8,10,1.081433
6,8,1.087392
6,8,1.093731
9,11,1.10227
14,16,1.114661
12,14,1.125435
7,9,1.132209
16,18,1.145904
7,9,1.15285
9,11,1.1613
10,12,1.170531
6,8,1.176733
23,25,1.195081
10,12,1.204045
6,8,1.210348
7,9,1.217354
19,21,1.232767
10,12,1.241716
10,12,1.250703
8,10,1.258773
7,9,1.265625
16,18,1.279107
7,9,1.285775
8,10,1.293065
9,11,1.301588
6,8,1.307423
10,12,1.317011
7,9,1.324327
6,8,1.330558
9,11,1.339674
7,9,1.347018
11,13,1.356865
9,11,1.365568
16,18,1.380075
6,8,1.386144
6,8,1.392527
6,8,1.398558
8,10,1.406452
6,8,1.413049
14,16,1.426022
8,10,1.434024
8,10,1.442301
6,8,1.448747
7,9,1.455545
15,17,1.468662
6,8,1.475039
7,9,1.482927
10,12,1.493475
6,8,1.50079
8,10,1.511104
7,9,1.520488
8,10,1.531175
7,9,1.541224
7,9,1.551685
27,29,1.583724
13,15,1.6006
6,8,1.609716
8,10,1.620787
7,9,1.630686
7,9,1.641095
6,8,1.650162
12,14,1.666285
8,10,1.759255
7,9,1.798325
6,8,1.832963
15,17,1.905419
12,14,1.964198
9,11,2.009239
25,27,2.12041
6,8,2.153337
19,21,2.240523
6,8,2.273571
9,11,2.319638
10,12,2.371132
11,13,2.425743
7,9,2.463986
12,14,2.524404
8,10,2.566557
6,8,2.601509
7,9,2.640534
17,19,2.721608
8,10,2.764957
6,8,2.799323
6,8,2.832503
8,10,2.873487
7,9,2.910546
7,9,2.947423
6,8,2.981396
11,13,3.03576
14,16,3.103214
7,9,3.140623
8,10,3.1824
17,19,3.262318
11,13,3.317084
8,10,3.357689
6,8,3.390639
7,9,3.427541
11,13,3.481552
6,8,3.516148
6,8,3.550096
19,21,3.639988
12,14,3.699689
6,8,3.733678
7,9,3.772038
13,15,3.83566
10,12,3.885654
8,10,3.92659
12,14,3.986199
9,11,4.033762
7,9,4.072457
12,14,4.131963
9,11,4.179202
20,22,4.27319
13,15,4.338486
6,8,4.375708
8,10,4.428761
7,9,4.473074
16,18,4.562172
6,8,4.604465
6,8,4.64699
10,12,4.709497
9,11,4.764585
9,11,4.819039
7,9,4.863152
6,8,4.902244
7,9,4.946281
10,12,5.004246
9,11,5.057572
11,13,5.120471
15,17,5.204179
6,8,5.243062
8,10,5.291765
12,14,5.362719
7,9,5.408108
14,16,5.486875
6,8,5.527079
16,18,5.617336
15,17,5.704969
8,10,5.755943
7,9,5.803848
6,8,5.841111
8,10,5.885398
14,16,5.953742
8,10,5.995383
12,14,6.05137
9,11,6.100737
11,13,6.166794
8,10,6.213572
12,14,6.276935
17,19,6.369176
10,12,6.431079
6,8,6.473075
14,16,6.557782
7,9,6.606004
9,11,6.664056
6,8,6.706851
7,9,6.755259
13,15,6.837022
7,9,6.885809
7,9,6.935031
12,14,7.011443
7,9,7.060207
8,10,7.115078
7,9,7.163348
15,17,7.253871
8,10,7.307028
27,29,7.457248
7,9,7.5031
16,18,7.597877
16,18,7.692518
8,10,7.745815
7,9,7.793982
6,8,7.836449
9,11,7.894798
6,8,7.936559
6,8,7.978155
7,9,8.024997
8,10,8.077251
12,14,8.158767
7,9,8.205961
6,8,8.247752
6,8,8.289835
14,16,8.372498
9,11,8.429541
6,8,8.471325
10,12,8.531796
14,16,8.614104
8,10,8.665632
7,9,8.711378
9,11,8.768291
6,8,8.809993
17,19,8.909026
16,18,9.001728
7,9,9.053109
21,23,9.17209
20,22,9.28667
16,18,9.377808
7,9,9.42442
12,14,9.497147
14,16,9.581092
7,9,9.628113
9,11,9.684044
7,9,9.731199
11,13,9.800385
8,10,9.852679
7,9,9.899013
15,17,9.986667
26,28,10.126414
7,9,10.170655
10,12,10.231005
8,10,10.283358
10,12,10.347519
17,19,10.44851
9,11,10.507454
19,21,10.625448
29,31,10.788735
7,9,10.836964
9,11,10.895077
16,18,10.990785
6,8,11.03371
6,8,11.076197
8,10,11.128624
12,14,11.203388
11,13,11.272232
24,26,11.40731
9,11,11.466463
13,15,11.5458
9,11,11.602853
13,15,11.680086
9,11,11.736349
9,11,11.793961
11,13,11.863014
16,18,11.9568
22,24,12.079938
7,9,12.127708
40,42,12.34647
7,9,12.394594
6,8,12.437436
9,11,12.495544
15,17,12.585491
13,15,12.666918
6,8,12.710391
17,19,12.812726
9,11,12.86871
10,12,12.929532
7,9,12.980195
6,8,13.020986
6,8,13.062353
41,43,13.281938
7,9,13.330011
9,11,13.3883
21,23,13.509723
6,8,13.551846
13,15,13.629132
20,22,13.741075
15,17,13.828327
11,13,13.895507
8,10,13.946606
7,9,13.990699
15,17,14.073418
9,11,14.128042
7,9,14.173515
17,19,14.270628
6,8,14.312115
8,10,14.363963
7,9,14.411085
15,17,14.50039
10,12,14.564704
6,8,14.607576
16,18,14.704418
40,42,14.931391
8,10,14.985822
6,8,15.029106
12,14,15.102729
8,10,15.155419
8,10,15.208486
7,9,15.2574
7,9,15.306214
16,18,15.402614
9,11,15.462311
13,15,15.540809
22,24,15.664398
8,10,15.716943
7,9,15.763655
9,11,15.820698
7,9,15.867378
7,9,15.913904
6,8,15.955652
8,10,16.006711
26,28,16.150174
8,10,16.200511
40,42,16.415961
12,14,16.489609
9,11,16.547039
7,9,16.593295
7,9,16.639873
18,20,16.743651
9,11,16.806246
6,8,16.847994
8,10,16.898646
10,12,16.960807
8,10,17.014131
9,11,17.072691
13,15,17.148991
14,16,17.231135
9,11,17.288154
20,22,17.401412
9,11,17.457724
16,18,17.548817
13,15,17.624808
8,10,17.676812
12,14,17.747602
6,8,17.787743
7,9,17.834689
11,13,17.90216
6,8,17.943804
15,17,18.029473
14,16,18.110155
9,11,18.166948
6,8,18.207971
8,10,18.258029
9,11,18.315248
10,12,18.377703
6,8,18.419602
14,16,18.503119
9,11,18.560737
9,11,18.617442
9,11,18.673758
8,10,18.726275
24,26,18.863854
11,13,18.933228
9,11,18.992031
9,11,19.050752
8,10,19.104835
8,10,19.157983
18,20,19.26564
6,8,19.309076
14,16,19.3943
7,9,19.442418
8,10,19.496115
10,12,19.559762
15,17,19.649896
10,12,19.713377
10,12,19.776968
19,21,19.888852
8,10,19.942396
10,12,20.005957
10,12,20.069186
15,17,20.158974
9,11,20.217158
11,13,20.286011
6,8,20.328441
14,16,20.413413
6,8,20.45595
6,8,20.498426
18,20,20.602843
8,10,20.655046
12,14,20.727634
6,8,20.77033
23,25,20.902719
10,12,20.966555
9,11,21.025093
6,8,21.067635
6,8,21.110539
8,10,21.163843
28,30,21.317285
7,9,21.363703
11,13,21.431057
17,19,21.528599
16,18,21.6205
9,11,21.675604
6,8,21.716509
14,16,21.800017
12,14,21.874779
8,10,21.926446
7,9,21.971279
7,9,22.016268
20,22,22.124555
7,9,22.169648
6,8,22.211047
11,13,22.278939
11,13,22.345601
15,17,22.4354
12,14,22.510081
8,10,22.563385
10,12,22.626039
10,12,22.687107
8,10,22.738318
6,8,22.779976
10,12,22.849778
7,9,22.899492
16,18,22.99715
7,9,23.045793
6,8,23.089303
8,10,23.143507
19,21,23.256052
7,9,23.304576
21,23,23.426475
8,10,23.48015
25,27,23.619315
11,13,23.687132
12,14,23.763822
11,13,23.837841
13,15,23.920478
12,14,23.996484
7,9,24.045603
6,8,24.089369
6,8,24.132965
10,12,24.198083
8,10,24.252156
6,8,24.296058
10,12,24.361441
7,9,24.410606
15,17,24.502083
14,16,24.589104
6,8,24.632431
8,10,24.686371
14,16,24.770949
12,14,24.843931
10,12,24.905313
8,10,24.957002
8,10,25.009688
8,10,25.062347
13,15,25.141318
11,13,25.209609
7,9,25.256916
10,12,25.320055
24,26,25.456334
7,9,25.503795
25,27,25.644955
7,9,25.692319
16,18,25.786864
11,13,25.855077
10,12,25.917007
9,11,25.972334
7,9,26.017508
7,9,26.06244
14,16,26.142987
6,8,26.183405
8,10,26.232617
10,12,26.292371
6,8,26.333268
37,39,26.533446
10,12,26.597758
26,28,26.744292
18,20,26.848265
