% time spent exploring,episodes,mean 100 episode reward,steps
98,100,9.8,1167
97,200,9.6,2328
96,300,10.9,3621
95,400,10.7,4888
93,500,10.4,6129
92,600,11.0,7425
91,700,10.9,8717
90,800,10.5,9963
88,900,11.0,11260
87,1000,10.7,12532
86,1100,10.4,13767
85,1200,10.4,15004
84,1300,11.0,16309
82,1400,12.1,17722
81,1500,10.6,18984
80,1600,11.1,20294
78,1700,11.3,21621
77,1800,12.5,23068
76,1900,11.9,24458
74,2000,11.8,25841
73,2100,13.1,27349
71,2200,11.5,28701
70,2300,12.4,30142
69,2400,12.4,31579
67,2500,12.8,33062
66,2600,13.5,34610
64,2700,13.3,36139
63,2800,13.1,37651
61,2900,14.2,39271
60,3000,12.9,40759
58,3100,13.5,42313
57,3200,12.8,43798
55,3300,15.1,45511
53,3400,14.0,47112
52,3500,14.3,48738
50,3600,13.6,50296
49,3700,14.1,51909
47,3800,14.9,53602
45,3900,17.1,55511
43,4000,16.3,57345
41,4100,20.4,59582
39,4200,16.6,61447
38,4300,15.7,63213
35,4400,20.2,65433
33,4500,18.6,67494
31,4600,20.2,69713
29,4700,21.3,72046
26,4800,23.6,74607
23,4900,28.7,77674
21,5000,26.7,80546
17,5100,30.0,83747
13,5200,38.1,87756
8,5300,55.3,93484
2,5400,147.4,108423
2,5500,218.7,130490
2,5600,255.4,156229
2,5700,256.0,182025
2,5800,229.4,205169
2,5900,269.1,232280
2,6000,235.0,255980
2,6100,243.3,280509
2,6200,266.6,307372
2,6300,271.5,334721
2,6400,259.6,360881
2,6500,229.9,384073
2,6600,239.9,408264
2,6700,269.5,435412
2,6800,239.2,459534
2,6900,240.8,483817
2,7000,270.4,511060
2,7100,260.0,537262
2,7200,267.8,564241
2,7300,250.6,589496
2,7400,280.0,617696
2,7500,246.1,642509
2,7600,223.0,665005
2,7700,251.4,690343
2,7800,261.0,716640
2,7900,241.3,740974
2,8000,239.8,765152
2,8100,272.0,792550
2,8200,257.0,818446
2,8300,228.8,841521
2,8400,249.6,866676
2,8500,289.2,895797
2,8600,279.5,923948
2,8700,275.7,951719
2,8800,250.4,976963
