# {"t_start": 1558065816.862117, "env_id": "DeepCars-v0"} 
r,l,t
7,9,1.484746
24,26,1.51641
16,18,1.53866
8,10,1.551173
6,8,1.56074
9,11,1.573195
9,11,1.58645
9,11,1.600219
7,9,1.611875
7,9,1.623236
9,11,1.63735
20,22,1.665214
7,9,1.677002
8,10,1.689918
7,9,1.701448
9,11,1.715793
7,9,1.727264
18,20,1.752888
9,11,1.766992
7,9,1.778476
10,12,1.79408
6,8,1.804511
8,10,1.817556
8,10,1.830709
9,11,1.844779
25,27,1.878798
6,8,1.889148
8,10,1.902212
6,8,1.91293
17,19,1.937151
6,8,1.947705
7,9,1.959412
8,10,1.972637
7,9,1.984463
15,17,2.007387
14,16,2.029052
6,8,2.039535
7,9,2.051256
10,12,2.06691
8,10,2.079876
12,14,2.098081
9,11,2.112236
9,11,2.126718
10,12,2.142433
6,8,2.15322
11,13,2.170248
10,12,2.186222
8,10,2.199592
17,19,2.22422
6,8,2.23498
8,10,2.247915
10,12,2.263613
7,9,2.275605
9,11,2.289958
7,9,2.302186
9,11,2.317259
15,17,2.340274
11,13,2.357951
13,15,2.377658
14,16,2.398216
12,14,2.416392
9,11,2.430847
6,8,2.441186
7,9,2.452962
30,32,2.49387
9,11,2.508162
13,15,2.527584
9,11,2.542012
6,8,2.552517
10,12,2.568343
7,9,2.580591
12,14,2.598868
16,18,2.622215
8,10,2.635337
7,9,2.64742
6,8,2.658249
12,14,2.676625
7,9,2.688611
9,11,2.703215
8,10,2.716329
15,17,2.738582
7,9,2.750584
6,8,2.761269
6,8,2.772043
6,8,2.89889
6,8,2.950167
6,8,3.002403
6,8,3.053607
16,18,3.169643
9,11,3.240259
21,23,3.385836
9,11,3.456693
9,11,3.528077
8,10,3.591883
6,8,3.641827
9,11,3.708948
14,16,3.810633
6,8,3.860184
7,9,3.916029
8,10,3.977986
7,9,4.034081
12,14,4.122208
7,9,4.180052
7,9,4.236906
15,17,4.342369
7,9,4.399931
17,19,4.52121
20,22,4.662006
9,11,4.732411
6,8,4.783983
7,9,4.839745
6,8,4.888471
8,10,4.949353
16,18,5.057555
8,10,5.11875
6,8,5.168605
8,10,5.231044
11,13,5.3117
9,11,5.379549
7,9,5.435986
10,12,5.511619
9,11,5.589902
15,17,5.695895
6,8,5.744823
8,10,5.805754
6,8,5.854642
9,11,5.921481
26,28,6.090542
10,12,6.164566
7,9,6.221002
8,10,6.284261
6,8,6.333617
10,12,6.40651
7,9,6.459235
6,8,6.506243
11,13,6.58136
10,12,6.653293
10,12,6.724653
7,9,6.779185
10,12,6.852877
12,14,6.941068
7,9,6.996519
7,9,7.050905
11,13,7.128853
7,9,7.183964
9,11,7.252078
11,13,7.330554
7,9,7.386708
9,11,7.454189
7,9,7.510049
26,28,7.681757
9,11,7.749514
7,9,7.8057
16,18,7.917376
8,10,7.979357
15,17,8.085038
7,9,8.14101
10,12,8.214326
8,10,8.274517
13,15,8.364382
7,9,8.418525
12,14,8.502397
9,11,8.570567
7,9,8.62812
25,27,8.799682
6,8,8.857068
12,14,8.94733
9,11,9.017612
14,16,9.120231
8,10,9.184554
17,19,9.300443
9,11,9.366905
8,10,9.427757
14,16,9.528812
11,13,9.611094
12,14,9.705271
6,8,9.756479
6,8,9.806599
14,16,9.904652
6,8,9.953347
6,8,10.002855
6,8,10.053007
6,8,10.102944
9,11,10.171005
8,10,10.233578
10,12,10.309411
7,9,10.364406
18,20,10.483649
13,15,10.573483
6,8,10.620511
6,8,10.665799
6,8,10.710858
7,9,10.761253
7,9,10.812538
8,10,10.874258
6,8,10.922892
7,9,10.992141
6,8,11.042617
9,11,11.112354
6,8,11.162457
10,12,11.235044
17,19,11.352278
7,9,11.408779
10,12,11.482942
11,13,11.561735
6,8,11.610963
9,11,11.677942
8,10,11.741631
6,8,11.793547
9,11,11.864757
6,8,11.916563
10,12,11.993609
20,22,12.133353
10,12,12.20831
18,20,12.330648
8,10,12.391504
10,12,12.463663
6,8,12.512451
8,10,12.574648
7,9,12.63087
21,23,12.769335
13,15,12.860075
6,8,12.918697
27,29,13.096365
13,15,13.189506
9,11,13.258166
12,14,13.344349
11,13,13.423534
10,12,13.494613
7,9,13.548242
7,9,13.602553
7,9,13.658591
11,13,13.738308
14,16,13.834879
11,13,13.914747
6,8,13.963902
10,12,14.03754
11,13,14.119794
8,10,14.184415
9,11,14.253385
13,15,14.345585
21,23,14.482199
6,8,14.52918
11,13,14.602782
8,10,14.66027
19,21,14.78198
7,9,14.834652
10,12,14.906751
8,10,14.966815
9,11,15.032804
8,10,15.092913
10,12,15.166581
8,10,15.227524
20,22,15.358897
17,19,15.480242
9,11,15.551432
13,15,15.648189
7,9,15.706209
9,11,15.777008
15,17,15.884832
21,23,16.030753
8,10,16.099808
6,8,16.15149
10,12,16.228593
12,14,16.317861
22,24,16.463531
7,9,16.518868
7,9,16.574523
6,8,16.624147
6,8,16.674056
6,8,16.725425
15,17,16.83426
28,30,17.020907
21,23,17.15992
6,8,17.209486
7,9,17.26464
10,12,17.337264
7,9,17.391858
