# {"t_start": 1558062775.230835, "env_id": "DeepCars-v0"} 
r,l,t
14,16,0.872206
7,9,0.881467
10,12,0.893624
9,11,0.907001
10,12,0.921485
7,9,0.931944
10,12,0.946946
11,13,0.961009
10,12,0.973769
7,9,0.983479
10,12,0.99646
6,8,1.004535
6,8,1.012229
15,17,1.029452
9,11,1.04041
7,9,1.048954
9,11,1.05932
7,9,1.068092
13,15,1.082183
9,11,1.092542
6,8,1.100148
7,9,1.108564
7,9,1.116791
13,15,1.130328
9,11,1.140416
9,11,1.150747
24,26,1.174257
6,8,1.181782
20,22,1.201453
6,8,1.211915
7,9,1.224299
13,15,1.239577
9,11,1.250897
10,12,1.260314
10,12,1.269621
6,8,1.275665
18,20,1.289207
9,11,1.296767
9,11,1.304181
13,15,1.31436
6,8,1.319906
11,13,1.328619
13,15,1.338716
12,14,1.350196
7,9,1.358384
6,8,1.366029
8,10,1.375597
13,15,1.389736
8,10,1.399435
6,8,1.407286
9,11,1.417735
22,24,1.440276
21,23,1.462202
7,9,1.471069
10,12,1.482786
6,8,1.490589
8,10,1.503723
14,16,1.521028
8,10,1.530794
8,10,1.5403
7,9,1.54905
7,9,1.557924
6,8,1.56595
19,21,1.586991
11,13,1.601084
7,9,1.610494
6,8,1.618441
9,11,1.628847
10,12,1.640183
6,8,1.648382
6,8,1.65644
10,12,1.668383
7,9,1.677121
8,10,1.686755
7,9,1.695428
15,17,1.711884
12,14,1.725535
17,19,1.744521
9,11,1.756753
10,12,1.770093
11,13,1.783511
8,10,1.79416
7,9,1.803619
11,13,1.81773
23,25,1.958727
11,13,2.023363
8,10,2.072572
7,9,2.117301
7,9,2.162292
8,10,2.211432
13,15,2.285359
6,8,2.323965
7,9,2.368293
7,9,2.413925
8,10,2.464871
6,8,2.504399
7,9,2.54967
16,18,2.639046
6,8,2.679102
9,11,2.736818
10,12,2.796377
8,10,2.845255
8,10,2.89418
13,15,2.969205
9,11,3.023628
17,19,3.117908
6,8,3.158477
9,11,3.217237
11,13,3.277866
6,8,3.307664
10,12,3.35433
17,19,3.455181
10,12,3.517624
20,22,3.625982
10,12,3.6864
11,13,3.748532
6,8,3.789582
9,11,3.842708
13,15,3.919522
9,11,3.978741
7,9,4.026858
12,14,4.094842
6,8,4.135007
15,17,4.219599
6,8,4.262609
11,13,4.317965
6,8,4.359126
11,13,4.414011
6,8,4.447685
8,10,4.494177
6,8,4.533358
7,9,4.570463
6,8,4.60259
7,9,4.642277
6,8,4.682547
6,8,4.722139
17,19,4.815524
20,22,4.926421
8,10,4.977768
15,17,5.063231
10,12,5.122654
6,8,5.161911
6,8,5.201384
7,9,5.248381
7,9,5.286536
20,22,5.380095
8,10,5.422439
22,24,5.527496
9,11,5.585068
10,12,5.643516
7,9,5.687866
10,12,5.749159
27,29,5.892481
6,8,5.932071
7,9,5.976149
7,9,6.021865
16,18,6.110503
15,17,6.194402
6,8,6.233768
6,8,6.273405
10,12,6.33346
9,11,6.388681
9,11,6.442826
18,20,6.540046
6,8,6.58042
10,12,6.640135
17,19,6.737601
11,13,6.801527
12,14,6.870176
6,8,6.910157
15,17,6.99673
11,13,7.062361
9,11,7.117309
8,10,7.166953
9,11,7.222692
9,11,7.267454
22,24,7.355913
7,9,7.399779
9,11,7.454134
6,8,7.500092
7,9,7.546813
7,9,7.593544
6,8,7.633024
6,8,7.677075
6,8,7.718605
9,11,7.772591
8,10,7.822552
16,18,7.91372
11,13,7.979152
8,10,8.029704
16,18,8.118252
16,18,8.210431
6,8,8.250093
38,40,8.445812
6,8,8.485488
6,8,8.525789
7,9,8.569727
11,13,8.633509
25,27,8.770954
6,8,8.812892
8,10,8.863269
9,11,8.916021
8,10,8.973115
10,12,9.036301
11,13,9.101443
7,9,9.146106
15,17,9.230167
17,19,9.301753
9,11,9.351892
7,9,9.40032
7,9,9.447355
9,11,9.502009
6,8,9.54106
8,10,9.591632
12,14,9.66032
10,12,9.721114
7,9,9.765426
7,9,9.809541
7,9,9.85411
9,11,9.908194
9,11,9.963343
9,11,10.017757
10,12,10.077637
10,12,10.136597
8,10,10.187132
29,31,10.339415
24,26,10.47326
8,10,10.523516
10,12,10.582811
7,9,10.627898
10,12,10.687246
9,11,10.74247
13,15,10.817721
17,19,10.917786
11,13,10.981874
13,15,11.056394
10,12,11.111958
9,11,11.165037
6,8,11.205783
9,11,11.256592
8,10,11.292753
17,19,11.374286
11,13,11.43754
8,10,11.488659
7,9,11.53343
6,8,11.57281
6,8,11.611984
15,17,11.695535
8,10,11.745798
15,17,11.834183
10,12,11.893369
7,9,11.938324
9,11,11.993648
8,10,12.04406
6,8,12.083683
6,8,12.122498
6,8,12.163794
6,8,12.204539
9,11,12.25893
7,9,12.304016
12,14,12.373315
30,32,12.536204
8,10,12.584951
10,12,12.64535
6,8,12.684423
8,10,12.733828
8,10,12.783659
13,15,12.858424
11,13,12.922579
24,26,13.049103
7,9,13.091953
9,11,13.148604
14,16,13.221405
9,11,13.264725
6,8,13.291693
9,11,13.329134
10,12,13.371579
6,8,13.401333
7,9,13.433839
7,9,13.469978
7,9,13.508108
9,11,13.557163
14,16,13.628587
9,11,13.678262
9,11,13.728378
13,15,13.796134
11,13,13.853715
7,9,13.893721
10,12,13.946809
9,11,13.996284
8,10,14.040884
10,12,14.093789
17,19,14.17741
12,14,14.238873
11,13,14.297998
9,11,14.347762
11,13,14.390977
7,9,14.430228
15,17,14.506493
8,10,14.553124
7,9,14.593265
38,40,14.771927
6,8,14.808684
11,13,14.865905
6,8,14.901631
7,9,14.942249
11,13,15.000749
8,10,15.045552
6,8,15.080212
14,16,15.152189
8,10,15.196733
17,19,15.277882
13,15,15.336875
6,8,15.376525
8,10,15.428581
7,9,15.474337
12,14,15.541356
9,11,15.597242
18,20,15.696096
12,14,15.76633
6,8,15.806273
7,9,15.851309
8,10,15.901643
8,10,15.952715
6,8,15.992106
9,11,16.048571
6,8,16.088716
8,10,16.139481
7,9,16.184192
6,8,16.22424
22,24,16.342216
14,16,16.421427
7,9,16.466537
17,19,16.561113
11,13,16.62523
6,8,16.659635
21,23,16.767327
7,9,16.812791
13,15,16.887548
10,12,16.946687
11,13,17.012096
11,13,17.077118
7,9,17.121109
20,22,17.233987
10,12,17.283317
11,13,17.334028
10,12,17.392001
12,14,17.461778
16,18,17.551051
11,13,17.616069
15,17,17.69968
10,12,17.75852
7,9,17.803291
15,17,17.889904
11,13,17.955184
9,11,18.009455
26,28,18.145985
13,15,18.219553
16,18,18.306869
7,9,18.352287
13,15,18.426657
18,20,18.525769
6,8,18.565323
13,15,18.638863
10,12,18.697367
12,14,18.767527
25,27,18.899621
11,13,18.968756
12,14,19.043764
10,12,19.102521
7,9,19.147032
7,9,19.191221
8,10,19.243757
9,11,19.284728
9,11,19.324198
11,13,19.384013
18,20,19.483304
8,10,19.534056
7,9,19.578605
10,12,19.638698
6,8,19.678315
12,14,19.746709
6,8,19.790116
12,14,19.857868
6,8,19.896951
18,20,19.992031
14,16,20.071115
11,13,20.135196
6,8,20.175012
6,8,20.215213
7,9,20.263331
6,8,20.303632
7,9,20.348223
7,9,20.393409
6,8,20.43579
10,12,20.493404
8,10,20.542708
6,8,20.582603
23,25,20.713452
6,8,20.752843
7,9,20.783891
21,23,20.892728
13,15,20.965751
7,9,21.010745
8,10,21.06038
9,11,21.115707
16,18,21.204737
19,21,21.298497
6,8,21.32745
16,18,21.413718
6,8,21.453261
14,16,21.531317
8,10,21.581862
16,18,21.670824
13,15,21.745414
11,13,21.812827
