% time spent exploring,episodes,mean 100 episode reward,steps
97,100,10.3,1215
95,200,9.7,2384
93,300,9.6,3544
90,400,10.7,4815
88,500,10.4,6057
85,600,11.5,7406
82,700,11.9,8792
80,800,9.9,9986
77,900,12.3,11414
74,1000,11.8,12797
72,1100,11.5,14147
69,1200,12.6,15607
66,1300,13.2,17123
63,1400,13.4,18658
60,1500,13.0,20159
57,1600,14.5,21809
53,1700,14.9,23501
50,1800,15.8,25286
46,1900,16.3,27116
43,2000,14.5,28766
39,2100,17.1,30676
35,2200,18.4,32719
31,2300,19.7,34891
27,2400,21.5,37243
22,2500,23.4,39788
14,2600,35.1,43494
2,2700,58.5,49540
2,2800,273.6,77097
2,2900,241.2,101422
2,3000,215.5,123168
2,3100,290.7,152435
2,3200,257.9,178427
2,3300,251.2,203750
2,3400,262.9,230242
2,3500,270.1,257453
2,3600,230.6,280710
2,3700,284.5,309363
2,3800,186.0,328166
2,3900,303.4,358710
2,4000,253.8,384290
2,4100,245.3,409021
2,4200,236.0,432826
2,4300,224.0,455426
2,4400,300.4,485662
