# {"t_start": 1558056567.473666, "env_id": "DeepCars-v0"} 
r,l,t
12,14,1.641
6,8,1.653668
8,10,1.670688
7,9,1.684759
26,28,1.72488
10,12,1.743776
6,8,1.755894
32,34,1.807042
22,24,1.843388
6,8,1.856131
8,10,1.871986
18,20,1.902321
13,15,1.92575
7,9,1.939692
6,8,1.951949
10,12,1.970178
6,8,1.982438
7,9,1.996423
9,11,2.013204
20,22,2.046321
6,8,2.059205
8,10,2.074679
6,8,2.087636
12,14,2.110351
9,11,2.127702
6,8,2.140259
6,8,2.153121
7,9,2.166953
6,8,2.179311
17,19,2.208273
11,13,2.22859
7,9,2.241994
21,23,2.276513
10,12,2.295229
8,10,2.310333
7,9,2.324027
8,10,2.33946
7,9,2.353861
11,13,2.374045
25,27,2.414863
8,10,2.430598
13,15,2.453663
7,9,2.467844
13,15,2.491172
10,12,2.509435
6,8,2.522251
18,20,2.552885
9,11,2.57022
7,9,2.584032
12,14,2.605862
20,22,2.641463
7,9,2.655326
9,11,2.672201
15,17,2.6984
17,19,2.728411
6,8,2.741012
7,9,2.755134
26,28,2.801753
19,21,2.834049
6,8,2.846205
9,11,2.863202
8,10,2.879065
10,12,2.897736
8,10,2.913385
11,13,2.933518
7,9,2.94802
7,9,2.961632
13,15,2.985062
12,14,3.007166
7,9,3.021408
6,8,3.033641
6,8,3.044525
6,8,3.056551
6,8,3.06892
6,8,3.08188
7,9,3.098572
6,8,3.111581
17,19,3.139278
7,9,3.153563
12,14,3.305449
10,12,3.375612
6,8,3.410451
9,11,3.477293
9,11,3.545157
8,10,3.609698
9,11,3.680413
7,9,3.737483
27,29,3.93031
16,18,4.044616
10,12,4.126164
11,13,4.209057
6,8,4.261129
6,8,4.31293
14,16,4.417545
6,8,4.468226
7,9,4.525906
9,11,4.596248
6,8,4.647737
6,8,4.699967
10,12,4.77808
7,9,4.836419
6,8,4.887801
8,10,4.951439
6,8,5.00315
7,9,5.059354
11,13,5.14183
9,11,5.212799
6,8,5.263975
6,8,5.314892
10,12,5.39312
7,9,5.451192
13,15,5.547887
13,15,5.643587
6,8,5.695132
18,20,5.821885
7,9,5.879861
6,8,5.932318
9,11,6.002306
6,8,6.052683
7,9,6.110466
11,13,6.192853
11,13,6.27533
11,13,6.359142
7,9,6.415965
10,12,6.493158
9,11,6.565216
9,11,6.635915
8,10,6.699653
6,8,6.750329
23,25,6.910268
13,15,7.007069
6,8,7.057462
6,8,7.111166
6,8,7.164321
9,11,7.233587
8,10,7.29741
12,14,7.386615
9,11,7.456779
6,8,7.50809
24,26,7.67813
7,9,7.735998
8,10,7.800309
9,11,7.870781
8,10,7.934881
10,12,8.010198
10,12,8.087429
13,15,8.182866
14,16,8.28486
8,10,8.348588
7,9,8.40563
8,10,8.470379
6,8,8.521038
11,13,8.605834
10,12,8.682378
11,13,8.767835
7,9,8.826782
10,12,8.905393
21,23,9.054467
6,8,9.107399
6,8,9.157222
6,8,9.209747
6,8,9.25835
16,18,9.373027
10,12,9.450464
9,11,9.522179
16,18,9.636712
6,8,9.688389
8,10,9.754492
8,10,9.81805
7,9,9.876238
15,17,9.984906
6,8,10.037053
6,8,10.087775
12,14,10.17662
6,8,10.227315
13,15,10.32336
13,15,10.419945
26,28,10.608041
11,13,10.69183
13,15,10.790061
6,8,10.84051
7,9,10.89914
14,16,11.001202
10,12,11.075967
10,12,11.152617
19,21,11.286985
8,10,11.351076
11,13,11.434577
10,12,11.510433
6,8,11.560822
14,16,11.662
8,10,11.726632
6,8,11.777597
9,11,11.84924
6,8,11.900035
7,9,11.957834
6,8,12.010572
7,9,12.066616
13,15,12.163889
18,20,12.28965
12,14,12.379567
7,9,12.437287
6,8,12.488378
6,8,12.537904
6,8,12.589242
17,19,12.709967
14,16,12.812775
9,11,12.882049
6,8,12.934491
11,13,13.017841
10,12,13.09033
10,12,13.168809
8,10,13.238078
12,14,13.327514
8,10,13.39185
6,8,13.44973
13,15,13.544873
7,9,13.602818
12,14,13.692668
9,11,13.762663
10,12,13.840529
8,10,13.904118
6,8,13.954753
10,12,14.032786
16,18,14.148426
15,17,14.258615
10,12,14.336022
9,11,14.408569
6,8,14.461301
12,14,14.549553
8,10,14.620357
8,10,14.683302
9,11,14.757716
24,26,14.923489
6,8,14.974506
7,9,15.031742
6,8,15.083886
7,9,15.141249
6,8,15.190554
14,16,15.293037
8,10,15.357547
7,9,15.414255
9,11,15.48274
7,9,15.540708
8,10,15.609782
11,13,15.694468
9,11,15.763262
9,11,15.833594
11,13,15.917731
9,11,15.987301
24,26,16.155205
8,10,16.218041
11,13,16.300988
7,9,16.359912
6,8,16.412691
6,8,16.462766
6,8,16.514971
7,9,16.571924
9,11,16.642207
14,16,16.745119
22,24,16.896698
6,8,16.947105
22,24,17.108211
9,11,17.180249
7,9,17.237726
12,14,17.327742
11,13,17.410935
11,13,17.491571
12,14,17.582416
9,11,17.653256
11,13,17.736401
8,10,17.798517
8,10,17.862934
11,13,17.945314
9,11,18.015729
7,9,18.073563
6,8,18.127301
6,8,18.178944
6,8,18.230761
25,27,18.40266
20,22,18.541655
6,8,18.593053
12,14,18.683044
8,10,18.747029
6,8,18.798359
26,28,18.975683
7,9,19.033957
14,16,19.135156
11,13,19.217806
9,11,19.287884
6,8,19.340581
10,12,19.418536
7,9,19.47609
9,11,19.545555
8,10,19.609934
6,8,19.664072
6,8,19.716137
9,11,19.78758
6,8,19.838855
8,10,19.901806
12,14,19.991102
8,10,20.059291
20,22,20.199318
9,11,20.268753
7,9,20.327096
12,14,20.41604
10,12,20.492355
8,10,20.555874
6,8,20.60743
20,22,20.745746
6,8,20.798343
15,17,20.904798
9,11,20.975324
11,13,21.059816
8,10,21.124096
10,12,21.201993
8,10,21.266572
23,25,21.42629
10,12,21.503168
14,16,21.605798
19,21,21.739998
8,10,21.803963
13,15,21.89889
6,8,21.949408
9,11,22.021401
6,8,22.073402
10,12,22.151012
7,9,22.207767
7,9,22.27114
11,13,22.355255
9,11,22.425506
12,14,22.515091
14,16,22.6181
11,13,22.701742
6,8,22.751587
9,11,22.822268
8,10,22.885963
10,12,22.962887
6,8,23.014371
9,11,23.081409
7,9,23.137082
8,10,23.197411
12,14,23.280719
6,8,23.32936
7,9,23.383191
7,9,23.437085
7,9,23.491492
12,14,23.574796
9,11,23.641404
8,10,23.701012
10,12,23.77333
7,9,23.829222
20,22,23.960739
22,24,24.10559
13,15,24.1953
7,9,24.249961
6,8,24.297326
12,14,24.38074
12,14,24.46529
8,10,24.526037
7,9,24.581213
10,12,24.653142
6,8,24.700358
10,12,24.773702
10,12,24.847561
7,9,24.90096
20,22,25.032862
19,21,25.164877
22,24,25.317813
13,15,25.413852
9,11,25.483328
7,9,25.539542
10,12,25.615808
8,10,25.679905
15,17,25.788463
13,15,25.884651
11,13,25.981508
10,12,26.059544
7,9,26.117414
7,9,26.17502
8,10,26.23798
14,16,26.33987
11,13,26.421953
13,15,26.518374
10,12,26.595873
11,13,26.677634
10,12,26.755195
8,10,26.817524
11,13,26.901412
6,8,26.954036
6,8,27.002173
11,13,27.086249
12,14,27.175885
12,14,27.265923
