# {"t_start": 1558060693.338981, "env_id": "DeepCars-v0"} 
r,l,t
10,12,2.028371
7,9,2.04002
17,19,2.064612
8,10,2.077878
7,9,2.090163
27,29,2.128541
10,12,2.145518
10,12,2.162982
10,12,2.180201
6,8,2.192068
16,18,2.218673
12,14,2.238709
8,10,2.253037
13,15,2.274595
14,16,2.297909
6,8,2.30995
7,9,2.32341
23,25,2.358335
15,17,2.382755
13,15,2.404198
12,14,2.424749
8,10,2.439445
10,12,2.456825
9,11,2.47264
12,14,2.492417
11,13,2.51154
13,15,2.532736
23,25,2.569041
7,9,2.582487
8,10,2.597192
8,10,2.611667
8,10,2.625718
7,9,2.639065
8,10,2.653771
9,11,2.669722
13,15,2.691653
14,16,2.713808
6,8,2.725399
8,10,2.739462
6,8,2.75147
6,8,2.76328
17,19,2.790369
8,10,2.805328
13,15,2.826789
15,17,2.851163
10,12,2.868742
9,11,2.884665
16,18,2.910618
6,8,2.922124
7,9,2.935042
6,8,2.946625
13,15,2.967833
11,13,2.986719
9,11,3.002961
14,16,3.027272
20,22,3.059105
7,9,3.072591
12,14,3.091988
9,11,3.108373
8,10,3.124092
10,12,3.141471
6,8,3.153342
11,13,3.172685
7,9,3.186228
7,9,3.199368
8,10,3.214662
6,8,3.226602
7,9,3.239866
10,12,3.25756
6,8,3.269432
12,14,3.290508
6,8,3.302737
11,13,3.322238
14,16,3.34577
8,10,3.361169
7,9,3.374297
12,14,3.395617
10,12,3.413735
9,11,3.430971
7,9,3.444919
11,13,3.464196
22,24,3.729869
7,9,3.784281
6,8,3.832117
18,20,3.951268
8,10,4.012519
7,9,4.066609
8,10,4.126525
10,12,4.197681
10,12,4.269684
6,8,4.324378
10,12,4.396272
11,13,4.473996
11,13,4.551414
6,8,4.599282
15,17,4.699958
11,13,4.777408
6,8,4.8254
6,8,4.873621
7,9,4.928136
32,34,5.132248
10,12,5.205602
11,13,5.284189
13,15,5.375555
12,14,5.459389
9,11,5.525133
7,9,5.578685
6,8,5.626056
12,14,5.708454
6,8,5.756332
11,13,5.834311
19,21,5.960057
7,9,6.014369
8,10,6.073146
6,8,6.12114
6,8,6.16853
8,10,6.228048
9,11,6.293524
6,8,6.341114
8,10,6.40019
11,13,6.477706
9,11,6.543279
11,13,6.620991
6,8,6.670441
11,13,6.748085
6,8,6.795309
26,28,6.959899
12,14,7.042343
8,10,7.102238
9,11,7.168199
7,9,7.221506
6,8,7.269545
7,9,7.324017
14,16,7.420243
6,8,7.468256
8,10,7.528473
10,12,7.599824
18,20,7.720225
11,13,7.799251
8,10,7.859572
6,8,7.907864
7,9,7.961567
6,8,8.009468
18,20,8.129086
8,10,8.1887
9,11,8.254075
6,8,8.302264
6,8,8.348202
15,17,8.448236
12,14,8.531524
9,11,8.596378
7,9,8.65029
8,10,8.70999
13,15,8.801778
11,13,8.879528
9,11,8.944501
6,8,8.992
13,15,9.081006
13,15,9.169889
6,8,9.216912
11,13,9.293534
16,18,9.400244
7,9,9.454614
8,10,9.514143
6,8,9.561676
6,8,9.610078
10,12,9.681295
10,12,9.752399
6,8,9.800516
7,9,9.854109
10,12,9.924743
9,11,9.991175
7,9,10.044372
6,8,10.093467
6,8,10.140541
8,10,10.201437
22,24,10.344435
8,10,10.404149
11,13,10.481007
8,10,10.541189
15,17,10.64215
7,9,10.703417
17,19,10.816365
8,10,10.876372
7,9,10.930205
11,13,11.00792
26,28,11.174508
6,8,11.222738
10,12,11.293738
