# {"t_start": 1558056163.172441, "env_id": "DeepCars-v0"} 
r,l,t
-992,9,2.945217
-992,9,2.958452
-992,9,2.972657
-989,12,2.99072
-991,10,3.005529
-993,8,3.017815
-992,9,3.032028
-991,10,3.047428
-992,9,3.061693
-989,12,3.07782
-984,17,3.099162
-988,13,3.115012
-992,9,3.126978
-993,8,3.137621
-993,8,3.148495
-981,20,3.174103
-973,28,3.209677
-993,8,3.219093
-993,8,3.229485
-990,11,3.24407
-985,16,3.264422
-992,9,3.275969
-989,12,3.291702
-989,12,3.306951
-986,15,3.327164
-991,10,3.338041
-990,11,3.350562
-993,8,3.36044
-992,9,3.37163
-987,14,3.39001
-985,16,3.409705
-991,10,3.422954
-992,9,3.434696
-992,9,3.446719
-991,10,3.459741
-991,10,3.473116
-990,11,3.487114
-982,19,3.511738
-993,8,3.522581
-993,8,3.53302
-991,10,3.546489
-970,31,3.586308
-990,11,3.600543
-993,8,3.611587
-993,8,3.622329
-991,10,3.635534
-986,15,3.655155
-986,15,3.674369
-993,8,3.685032
-986,15,3.708259
-991,10,3.723241
-985,16,3.747342
-990,11,3.765131
-990,11,3.787141
-992,9,3.801611
-985,16,3.826099
-993,8,3.842243
-992,9,3.858348
-993,8,3.871117
-991,10,3.887311
-992,9,3.901761
-988,13,3.923516
-983,18,3.951683
-979,22,3.986533
-993,8,3.999784
-988,13,4.024921
-993,8,4.038105
-985,16,4.062022
-985,16,4.08559
-989,12,4.103935
-991,10,4.118926
-988,13,4.139302
-989,12,4.16255
-992,9,4.180304
-978,23,4.220335
-992,9,4.235028
-989,12,4.253717
-988,13,4.273945
-993,8,4.286516
-993,8,4.301887
-984,17,4.327725
-973,28,4.373883
-986,15,4.992228
-989,12,5.077044
-983,18,5.193759
-988,13,5.279757
-974,27,5.459697
-993,8,5.507027
-980,21,5.635232
-993,8,5.684856
-982,19,5.8014
-987,14,5.88468
-993,8,5.937598
-986,15,6.035956
-991,10,6.100169
-989,12,6.179074
-985,16,6.284551
-990,11,6.358051
-981,20,6.49035
-989,12,6.570028
-993,8,6.623105
-992,9,6.684444
-985,16,6.789063
-991,10,6.85533
-983,18,6.974904
-992,9,7.036551
-983,18,7.151363
-993,8,7.204909
-986,15,7.305415
-990,11,7.380193
-990,11,7.452027
-990,11,7.528209
-992,9,7.588354
-984,17,7.699747
-987,14,7.792934
-988,13,7.876172
-987,14,7.964763
-992,9,8.024484
-987,14,8.122044
-985,16,8.223743
-992,9,8.284166
-993,8,8.335854
-991,10,8.399205
-990,11,8.475582
-990,11,8.551436
-992,9,8.611574
-992,9,8.672098
-992,9,8.728228
-986,15,8.825561
-991,10,8.895196
-993,8,8.947894
-984,17,9.056521
-991,10,9.116619
-988,13,9.196464
-992,9,9.25513
-985,16,9.357634
-989,12,9.437595
-993,8,9.490098
-982,19,9.614363
-991,10,9.680274
-989,12,9.757337
-986,15,9.855908
-993,8,9.908989
-993,8,9.960872
-987,14,10.058134
-989,12,10.139909
-993,8,10.19483
-991,10,10.269649
-987,14,10.363169
-992,9,10.42087
-992,9,10.482868
-991,10,10.55372
-988,13,10.636346
-988,13,10.72317
-993,8,10.776527
-979,22,10.918963
-990,11,10.990248
-990,11,11.060337
-993,8,11.117582
-988,13,11.201365
-992,9,11.258792
-992,9,11.318785
-986,15,11.416127
-987,14,11.506714
-993,8,11.558664
-975,26,11.724937
-991,10,11.788141
-991,10,11.855576
-988,13,11.938728
-983,18,12.061671
-985,16,12.155724
-988,13,12.236881
-985,16,12.346064
