# {"t_start": 1557354769.4102833, "env_id": "DeepCars-v0"} 
r,l,t
-992,9,5.451182
-989,12,6.280751
-985,16,7.350222
-993,8,8.0215
-985,16,9.107861
-967,34,11.360294
-988,13,12.333212
-993,8,12.997347
-983,18,14.19121
-993,8,14.87464
-982,19,16.236868
-986,15,17.296874
-990,11,18.169848
-992,9,18.852527
-990,11,19.735173
-990,11,20.569135
-992,9,21.317837
-993,8,21.997635
-991,10,22.773523
-993,8,23.440225
-993,8,24.122581
-991,10,24.928085
-989,12,25.858779
-983,18,27.237017
-990,11,28.178984
-980,21,29.642581
