% time spent exploring,episodes,mean 100 episode reward,steps
99,100,9.5,1140
98,200,10.5,2390
98,300,11.0,3693
97,400,10.2,4911
96,500,10.2,6131
96,600,10.0,7330
95,700,10.7,8597
95,800,10.6,9858
94,900,10.2,11081
93,1000,10.9,12367
93,1100,11.3,13698
92,1200,10.1,14911
92,1300,10.4,16149
91,1400,10.3,17381
90,1500,10.7,18651
90,1600,11.2,19966
89,1700,10.8,21245
88,1800,10.5,22495
88,1900,10.3,23729
87,2000,11.0,25026
87,2100,10.3,26253
86,2200,11.3,27586
85,2300,10.2,28806
85,2400,11.0,30105
84,2500,10.1,31316
84,2600,11.2,32641
83,2700,11.2,33965
82,2800,10.9,35256
82,2900,11.4,36591
81,3000,12.4,38029
80,3100,11.6,39392
80,3200,11.2,40715
79,3300,11.2,42035
78,3400,12.0,43437
78,3500,10.6,44694
77,3600,11.7,46067
76,3700,11.6,47425
76,3800,11.3,48755
75,3900,12.5,50203
74,4000,12.2,51619
74,4100,12.2,53038
73,4200,11.1,54347
72,4300,12.0,55749
72,4400,11.1,57061
71,4500,11.9,58452
70,4600,11.4,59790
70,4700,12.0,61185
69,4800,11.3,62514
68,4900,12.7,63980
67,5000,11.6,65336
67,5100,12.7,66806
66,5200,12.3,68235
65,5300,13.5,69782
65,5400,13.2,71300
64,5500,12.4,72738
63,5600,12.9,74227
62,5700,11.6,75588
62,5800,12.0,76990
61,5900,12.5,78444
60,6000,13.9,80036
60,6100,13.2,81557
59,6200,13.6,83117
58,6300,15.0,84821
57,6400,14.4,86459
56,6500,12.8,87943
56,6600,13.0,89446
55,6700,12.7,90915
54,6800,14.3,92545
53,6900,14.2,94164
53,7000,14.0,95767
52,7100,16.3,97599
51,7200,14.8,99280
50,7300,15.1,100988
49,7400,15.8,102763
48,7500,13.5,104317
48,7600,15.4,106055
47,7700,15.6,107815
46,7800,16.4,109656
45,7900,15.5,111402
44,8000,15.5,113153
43,8100,16.0,114949
42,8200,16.3,116779
41,8300,16.7,118649
40,8400,18.0,120650
39,8500,18.2,122674
38,8600,16.2,124497
38,8700,18.3,126525
37,8800,17.4,128466
36,8900,18.1,130474
35,9000,19.2,132595
33,9100,19.8,134774
32,9200,20.1,136988
31,9300,19.0,139093
30,9400,19.8,141272
29,9500,21.1,143584
28,9600,22.8,146064
27,9700,24.1,148678
25,9800,25.0,151382
24,9900,29.9,154576
22,10000,27.3,157504
21,10100,24.8,160189
19,10200,32.6,163652
18,10300,26.6,166512
16,10400,29.2,169629
14,10500,36.5,173479
12,10600,42.7,177953
10,10700,54.5,183607
6,10800,62.9,190094
2,10900,95.9,199885
2,11000,262.3,226319
2,11100,269.2,253440
2,11200,272.1,280847
2,11300,274.4,308492
2,11400,238.8,332568
2,11500,279.5,360722
2,11600,265.5,387470
2,11700,299.8,417653
2,11800,228.4,440691
2,11900,262.7,467164
2,12000,211.7,488532
2,12100,250.6,513787
2,12200,273.2,541312
2,12300,243.0,565812
2,12400,190.2,585028
2,12500,294.9,614721
2,12600,266.0,641524
2,12700,307.1,672434
2,12800,272.7,699903
2,12900,282.9,728395
2,13000,212.8,749871
2,13100,324.1,782481
2,13200,233.4,806018
2,13300,273.7,833584
2,13400,291.3,862912
2,13500,236.2,886737
2,13600,248.9,911828
2,13700,238.0,935829
2,13800,231.4,959172
2,13900,220.0,981373
2,14000,235.1,1005080
2,14100,245.3,1029814
2,14200,260.0,1056011
2,14300,274.4,1083646
2,14400,254.8,1109330
2,14500,253.7,1134902
2,14600,295.9,1164695
2,14700,191.0,1183992
2,14800,265.0,1210690
2,14900,278.8,1238765
2,15000,260.0,1264970
2,15100,244.7,1289637
2,15200,256.4,1315480
2,15300,294.7,1345154
2,15400,260.4,1371394
2,15500,254.0,1396993
2,15600,246.6,1421857
2,15700,224.9,1444546
2,15800,227.3,1467479
2,15900,201.6,1487835
2,16000,238.1,1511846
2,16100,247.0,1536751
2,16200,252.5,1562205
2,16300,250.1,1587414
2,16400,235.0,1611117
2,16500,216.6,1632972
2,16600,242.1,1657382
2,16700,264.9,1684076
2,16800,241.0,1708380
2,16900,261.3,1734708
2,17000,292.0,1764107
2,17100,262.4,1790549
2,17200,257.3,1816477
2,17300,319.7,1848643
2,17400,245.2,1873363
2,17500,251.1,1898676
2,17600,265.7,1925449
2,17700,221.7,1947822
2,17800,236.4,1971664
