% time spent exploring,episodes,mean 100 episode reward,steps
97,100,-989.4,1147
95,200,-989.7,2276
93,300,-988.3,3547
90,400,-987.5,4901
87,500,-988.6,6136
85,600,-988.4,7401
82,700,-987.6,8746
80,800,-987.6,10086
77,900,-987.4,11442
74,1000,-987.0,12839
72,1100,-988.3,14107
69,1200,-986.7,15538
66,1300,-986.3,17007
63,1400,-986.2,18489
60,1500,-985.4,20044
57,1600,-985.6,21587
54,1700,-984.5,23234
51,1800,-983.4,24989
47,1900,-982.6,26829
43,2000,-980.1,28918
40,2100,-984.6,30558
35,2200,-978.4,32820
31,2300,-977.9,35127
26,2400,-976.7,37554
21,2500,-974.0,40258
14,2600,-969.9,43368
2,2700,-918.0,51672
2,2800,-728.8,78896
2,2900,-728.2,106172
2,3000,-753.1,130959
2,3100,-763.1,154750
2,3200,-771.1,177738
2,3300,-771.6,200682
2,3400,-760.3,224750
2,3500,-710.8,253765
2,3600,-720.8,281787
2,3700,-723.4,309544
2,3800,-678.9,341753
2,3900,-756.6,366195
2,4000,-765.4,389750
2,4100,-758.2,414025
2,4200,-729.3,441198
2,4300,-704.8,470814
2,4400,-755.4,495378
