# {"t_start": 1557358377.4112115, "env_id": "DeepCars-v0"} 
r,l,t
-988,13,3.444151
-989,12,4.073274
-993,8,4.545923
-992,9,5.0719
-983,18,5.730624
-991,10,6.151492
-993,8,6.50902
-981,20,7.166286
-989,12,7.640546
-992,9,8.030105
-986,15,8.569861
-993,8,8.939146
-993,8,9.312121
-991,10,9.744618
-989,12,10.22744
-993,8,10.603579
-990,11,11.059422
-991,10,11.488794
-992,9,11.894784
-993,8,12.254145
-984,17,12.843551
-990,11,13.296553
-992,9,13.691479
-988,13,14.201933
-989,12,14.679177
-992,9,15.067737
-991,10,15.47886
-982,19,16.117465
-980,21,16.845739
-990,11,17.30291
-993,8,17.678198
-990,11,18.119641
-984,17,18.724838
-977,24,19.531749
-988,13,20.044732
-991,10,20.473365
-993,8,20.835507
-990,11,21.285596
-987,14,21.816611
-990,11,22.277397
-990,11,22.732295
-985,16,23.312047
-988,13,23.808105
-987,14,24.32592
-989,12,24.785693
-989,12,25.254106
-992,9,25.739485
-992,9,26.141426
-990,11,26.595494
-992,9,26.987424
-990,11,27.425276
-992,9,27.810256
-993,8,28.168461
-992,9,28.549566
-988,13,29.057891
-983,18,29.701484
-991,10,30.132764
-992,9,30.520137
-991,10,30.928001
-993,8,31.28405
-991,10,31.692557
-991,10,32.107757
-986,15,32.65476
-993,8,33.016102
-992,9,33.398477
-990,11,33.831914
-991,10,34.244028
-991,10,34.660133
-983,18,35.276654
-988,13,35.763381
-993,8,36.123522
-992,9,36.527
-992,9,36.933387
-990,11,37.391779
-986,15,37.958788
-989,12,38.444686
-988,13,38.944444
-992,9,39.32889
-991,10,39.740805
-989,12,40.206061
-992,9,40.589409
-983,18,41.227168
-990,11,41.675825
-993,8,42.044411
-993,8,42.406312
-991,10,42.836409
-993,8,43.217938
-984,17,45.463727
-993,8,47.67375
-992,9,50.140262
-993,8,52.349642
-988,13,55.817926
-986,15,59.798876
-993,8,62.029748
-975,26,68.822929
-988,13,72.33529
-992,9,74.818481
-991,10,77.544409
-991,10,80.261324
-993,8,82.531511
