% time spent exploring,episodes,mean 100 episode reward,steps
87,100,-988.5,1239
75,200,-988.3,2505
62,300,-987.6,3848
48,400,-987.0,5253
29,500,-981.4,7212
2,600,-874.1,19898
2,700,-778.0,42202
2,800,-757.1,66595
2,900,-768.1,89887
