# {"t_start": 1559086634.233799, "env_id": "DeepCars-v3"} 
r,l,t
-987,14,1.08758
-978,23,1.114201
-986,15,1.132193
-992,9,1.143919
-988,13,1.159812
-992,9,1.171232
-979,22,1.197888
-990,11,1.210876
-991,10,1.223423
-989,12,1.238599
-993,8,1.248871
-992,9,1.262535
-982,19,1.286831
-992,9,1.298514
-988,13,1.315282
-989,12,1.330913
-977,24,1.360375
-993,8,1.37325
-981,20,1.398049
-993,8,1.408951
-993,8,1.419425
-983,18,1.44227
-989,12,1.457796
-992,9,1.469635
-992,9,1.481614
-988,13,1.498476
-991,10,1.511816
-980,21,1.537918
-992,9,1.549788
-987,14,1.567655
-989,12,1.583227
-993,8,1.594053
-993,8,1.604623
-993,8,1.615198
-987,14,1.633316
-989,12,1.649037
-993,8,1.659998
-993,8,1.670381
-985,16,1.690562
-975,26,1.723239
-991,10,1.736285
-983,18,1.759212
-993,8,1.76991
-992,9,1.781909
-983,18,1.804731
-981,20,1.829939
-993,8,1.840551
-973,28,1.876057
-989,12,1.891597
-988,13,1.908251
-989,12,1.923987
-992,9,1.935861
-991,10,1.949212
-988,13,1.966324
-988,13,1.983445
-979,22,2.011437
-986,15,2.03107
-993,8,2.041998
-993,8,2.052708
-991,10,2.065992
-993,8,2.076666
-988,13,2.093777
-989,12,2.109294
-992,9,2.121283
-993,8,2.131674
-990,11,2.145779
-970,31,2.183132
-989,12,2.19778
-992,9,2.208862
-992,9,2.219991
-990,11,2.233144
-991,10,2.244851
-991,10,2.256595
-993,8,2.265994
-985,16,2.284722
-988,13,2.299889
-991,10,2.313361
-993,8,2.32445
-990,11,2.338775
-992,9,2.412691
-993,8,2.443032
-982,19,2.52105
-988,13,2.578348
-970,31,2.713626
-990,11,2.763797
-992,9,2.804353
-989,12,2.858007
-989,12,2.911446
-977,24,3.020406
-991,10,3.065971
-991,10,3.112107
-993,8,3.147582
-988,13,3.206345
-991,10,3.251401
-993,8,3.287432
-993,8,3.323276
-988,13,3.381234
-991,10,3.426424
-993,8,3.462499
-989,12,3.517236
-991,10,3.562013
-992,9,3.603316
-986,15,3.670512
-991,10,3.71633
-990,11,3.766011
-993,8,3.802103
-991,10,3.846083
-987,14,3.908166
-986,15,3.97552
-989,12,4.029181
-979,22,4.126156
-993,8,4.162278
-990,11,4.211567
-986,15,4.278102
-981,20,4.36613
-991,10,4.40877
-989,12,4.465089
-985,16,4.535918
-980,21,4.626625
-979,22,4.724691
-984,17,4.799839
-968,33,4.946843
-993,8,4.983146
-993,8,5.020892
-990,11,5.070584
-986,15,5.137665
-984,17,5.214563
-992,9,5.255974
-992,9,5.297584
-976,25,5.411053
-991,10,5.456926
-982,19,5.543341
-987,14,5.607328
-991,10,5.653314
-992,9,5.694061
-992,9,5.735313
-985,16,5.808415
-987,14,5.872541
-993,8,5.910256
-984,17,5.986071
-989,12,6.040302
-985,16,6.113504
-990,11,6.164227
-993,8,6.200526
-985,16,6.271882
-991,10,6.31688
-991,10,6.362542
-985,16,6.434408
-991,10,6.479224
-992,9,6.520292
-993,8,6.556313
-992,9,6.596655
-993,8,6.632705
-990,11,6.681682
-988,13,6.739541
-982,19,6.823942
-989,12,6.877718
-982,19,6.961578
-993,8,6.996837
-993,8,7.031833
-987,14,7.092508
-986,15,7.1577
-982,19,7.242195
-993,8,7.278392
-983,18,7.358373
-993,8,7.394837
-989,12,7.448509
-993,8,7.484369
-986,15,7.549641
-993,8,7.58506
-968,33,7.727444
-993,8,7.763437
-992,9,7.804011
-992,9,7.844401
-993,8,7.880631
-988,13,7.938327
-991,10,7.983552
-990,11,8.03331
-989,12,8.088135
-993,8,8.125095
-991,10,8.169881
-987,14,8.231652
-989,12,8.283813
-988,13,8.340258
-992,9,8.37969
-993,8,8.42549
-988,13,8.482611
-993,8,8.517818
-993,8,8.552737
-992,9,8.592263
-993,8,8.628449
-986,15,8.69429
-990,11,8.742815
-975,26,8.855252
-992,9,8.895764
-991,10,8.941334
-983,18,9.021382
-989,12,9.075294
-988,13,9.135558
-978,23,9.24168
-979,22,9.344563
-980,21,9.442821
-988,13,9.503653
-989,12,9.559906
-987,14,9.625318
-992,9,9.674107
-978,23,9.779349
-989,12,9.83408
-992,9,9.875324
-993,8,9.912251
-992,9,9.953997
-990,11,10.004219
-985,16,10.07708
-987,14,10.140737
-976,25,10.251369
-993,8,10.287639
-991,10,10.3308
-988,13,10.385433
-989,12,10.437012
-993,8,10.472713
-990,11,10.522172
-989,12,10.57591
-991,10,10.620875
-991,10,10.664767
-988,13,10.72182
-990,11,10.770952
-991,10,10.821678
-990,11,10.870687
-993,8,10.905791
-986,15,10.970593
-966,35,11.123945
-992,9,11.163911
-993,8,11.200106
-986,15,11.266807
-988,13,11.324805
-993,8,11.36068
-987,14,11.424566
-990,11,11.474884
-976,25,11.587095
-989,12,11.640578
-987,14,11.702764
-989,12,11.756365
-990,11,11.805936
-988,13,11.863703
-988,13,11.92018
-993,8,11.955119
-985,16,12.025461
-974,27,12.143552
-983,18,12.221191
-992,9,12.260836
-992,9,12.300369
-989,12,12.352585
-984,17,12.424061
-985,16,12.499001
-987,14,12.559958
-991,10,12.603404
-990,11,12.651243
-992,9,12.691649
-992,9,12.731857
-993,8,12.768275
-981,20,12.857883
-992,9,12.897688
-991,10,12.942793
-992,9,12.98257
-992,9,13.023113
-982,19,13.109523
-992,9,13.151083
-992,9,13.192838
-989,12,13.24803
-993,8,13.285144
-987,14,13.349459
-963,38,13.522049
-985,16,13.594793
-993,8,13.632311
-990,11,13.682869
-992,9,13.724318
-991,10,13.77034
-972,29,13.90184
-992,9,13.942279
-989,12,13.996121
-992,9,14.03733
-993,8,14.074476
-982,19,14.159279
-981,20,14.247759
-990,11,14.296657
-988,13,14.35443
-981,20,14.44945
-993,8,14.486099
-993,8,14.523274
-990,11,14.573886
-971,30,14.705951
-993,8,14.740896
-976,25,14.848273
-987,14,14.908831
-991,10,14.952769
-986,15,15.01926
-989,12,15.073162
-989,12,15.126654
-990,11,15.184697
-989,12,15.239156
-993,8,15.275101
-992,9,15.315159
-984,17,15.389287
-983,18,15.469253
-985,16,15.541134
-982,19,15.626246
-980,21,15.719413
-990,11,15.770402
-992,9,15.811793
-988,13,15.870102
-991,10,15.914795
-982,19,16.00032
-976,25,16.110144
-990,11,16.157966
-989,12,16.210236
-993,8,16.245562
-993,8,16.280668
-989,12,16.332846
-978,23,16.432056
-984,17,16.505168
-990,11,16.552404
-993,8,16.586583
-969,32,16.724937
-991,10,16.769633
-990,11,16.818727
-992,9,16.860028
-993,8,16.896313
-992,9,16.937004
-990,11,16.986696
-974,27,17.104983
-973,28,17.228042
-976,25,17.3399
-993,8,17.376788
-992,9,17.418315
-993,8,17.455168
-989,12,17.510456
-991,10,17.556855
-976,25,17.671211
-986,15,17.739341
-979,22,17.839283
-985,16,17.911531
-983,18,17.993084
-989,12,18.047311
-989,12,18.102546
-989,12,18.156117
-987,14,18.217899
-991,10,18.261731
-992,9,18.302628
-986,15,18.369322
-990,11,18.418298
-991,10,18.463157
-982,19,18.547348
-992,9,18.587706
-988,13,18.645474
-991,10,18.690129
-992,9,18.730561
-991,10,18.775083
-986,15,18.841776
-988,13,18.899674
-992,9,18.940247
-992,9,18.980839
-984,17,19.055819
-991,10,19.100745
-992,9,19.141018
-988,13,19.199189
-991,10,19.24367
-986,15,19.310349
-987,14,19.379913
-970,31,19.514741
-989,12,19.567009
-988,13,19.623501
-988,13,19.680795
-984,17,19.756143
-986,15,19.821138
-982,19,19.903858
-982,19,19.986309
-984,17,20.060326
-993,8,20.096247
-992,9,20.136301
-967,34,20.283941
-981,20,20.373196
-993,8,20.408955
-984,17,20.484212
-987,14,20.545283
-993,8,20.58019
-981,20,20.665319
-992,9,20.705086
-987,14,20.766804
-984,17,20.842775
-986,15,20.909068
-986,15,20.974365
-992,9,21.014122
-985,16,21.085055
-993,8,21.121798
-988,13,21.182056
-982,19,21.268367
-993,8,21.305878
-993,8,21.342863
-980,21,21.440136
-988,13,21.501268
-992,9,21.543839
-981,20,21.637256
-993,8,21.67562
-983,18,21.759541
-988,13,21.820064
-992,9,21.862264
-980,21,21.958991
-984,17,22.034623
-991,10,22.080937
-993,8,22.117037
-992,9,22.157457
-987,14,22.221973
-981,20,22.311869
-993,8,22.347833
-984,17,22.423019
-990,11,22.472368
-988,13,22.531036
-992,9,22.571643
-977,24,22.677161
-984,17,22.750913
-993,8,22.786104
-936,65,23.064039
-966,35,23.217521
-991,10,23.263276
-976,25,23.374
-980,21,23.466984
-993,8,23.502934
-993,8,23.539049
-983,18,23.618933
-948,53,23.849585
-989,12,23.909263
-992,9,23.951233
-992,9,23.991982
-992,9,24.032835
-981,20,24.121183
-962,39,24.292894
-991,10,24.337932
-991,10,24.382604
-982,19,24.474448
-981,20,24.562152
-993,8,24.59789
-983,18,24.677217
-987,14,24.740308
-990,11,24.790784
-985,16,24.863841
-990,11,24.914624
-958,43,25.105795
-988,13,25.165146
-979,22,25.264471
-983,18,25.345127
-990,11,25.394871
-975,26,25.512047
-990,11,25.561995
-975,26,25.675992
-986,15,25.7443
-974,27,25.864904
-960,41,26.048003
-987,14,26.11183
-990,11,26.159969
-987,14,26.220385
-959,42,26.403227
-986,15,26.469246
-977,24,26.574965
-966,35,26.725259
-992,9,26.765726
-989,12,26.818584
-943,58,27.070197
-973,28,27.190068
-991,10,27.23364
-979,22,27.329868
-992,9,27.370419
-948,53,27.596709
-990,11,27.644122
-946,55,27.881852
-991,10,27.926515
-990,11,27.975836
-986,15,28.041821
-933,68,28.339978
-992,9,28.379798
-985,16,28.448014
-978,23,28.546284
-987,14,28.60665
-977,24,28.710589
-992,9,28.749945
-963,38,28.91356
-992,9,28.953522
-970,31,29.089801
-993,8,29.125864
-975,26,29.245252
-990,11,29.297235
-979,22,29.399328
-992,9,29.442103
-979,22,29.543604
-976,25,29.659154
-987,14,29.724458
-989,12,29.780549
-967,34,29.929976
-989,12,29.983263
-963,38,30.150363
-990,11,30.199927
-987,14,30.261646
-988,13,30.318891
-969,32,30.458927
-976,25,30.568221
-987,14,30.63013
-969,32,30.770404
-984,17,30.845224
-974,27,30.963962
-940,61,31.229127
-987,14,31.298511
-973,28,31.421471
-956,45,31.618783
-988,13,31.676186
-988,13,31.733541
-968,33,31.881294
-923,78,32.219689
-920,81,32.560887
-982,19,32.643007
-971,30,32.772305
-993,8,32.80715
-977,24,32.910545
-930,71,33.22033
-948,53,33.456419
-980,21,33.550893
-983,18,33.632405
-956,45,33.834015
-990,11,33.883682
-925,76,34.221229
-989,12,34.274736
-974,27,34.393009
-987,14,34.455014
-972,29,34.581824
-953,48,34.790259
-964,37,34.948977
-982,19,35.032938
-970,31,35.169174
-993,8,35.204834
-971,30,35.335961
-944,57,35.587273
-944,57,35.836221
-993,8,35.871601
-976,25,35.978992
-932,69,36.274779
-991,10,36.318704
-927,74,36.632997
-967,34,36.779258
-974,27,36.902095
-971,30,37.024417
-943,58,37.259419
-960,41,37.421759
-990,11,37.466233
-985,16,37.530322
-964,37,37.677943
-952,49,37.872184
-956,45,38.072054
-907,94,38.486609
-894,107,38.952311
-775,226,39.939526
-942,59,40.194458
-971,30,40.325296
-964,37,40.484766
-881,120,41.006593
-927,74,41.337079
17,1018,46.204495
-553,448,48.176242
-369,632,50.948535
-437,564,53.391502
-706,295,54.705266
-455,546,57.072062
-981,20,57.172439
-762,239,58.237287
-918,83,58.590315
-714,287,59.836253
-842,159,60.522953
-781,220,61.492593
-854,147,62.145729
-990,11,62.194439
-928,73,62.512797
-750,251,63.58659
-648,353,65.12677
-807,194,65.980371
-875,126,66.530667
-956,45,66.726494
-542,459,68.70576
-778,223,69.68844
-709,292,70.990393
-911,90,71.394501
-777,224,72.387473
-938,63,72.648898
-862,139,73.252088
-594,407,75.039447
-615,386,76.710217
-980,21,76.800663
34,1035,81.336965
-591,410,83.160045
-980,21,83.252248
-779,222,84.206613
-679,322,85.600509
-917,84,85.973388
-733,268,87.160656
-906,95,87.576221
-778,223,88.569189
-855,146,89.202559
-444,557,91.645016
-743,258,92.739151
-857,144,93.368394
-837,164,94.092397
-421,580,96.622
-974,27,96.740764
-237,764,100.08485
-832,169,100.800983
-909,92,101.20215
-333,668,104.094935
-912,89,104.4752
-827,174,105.216947
-955,46,105.422454
-939,62,105.705436
-747,254,106.822588
-725,276,108.021765
-689,312,109.372744
-487,514,111.62343
-857,144,112.247004
116,1117,117.13735
-907,94,117.553666
-967,34,117.705809
-636,365,119.297824
-839,162,120.003107
-928,73,120.317783
-760,241,121.369313
-141,860,125.087975
-872,129,125.673887
-969,32,125.819407
-115,886,129.658444
-903,98,130.11338
-792,209,131.036031
-816,185,131.83587
-962,39,132.006608
-860,141,132.604411
-436,565,135.086399
-855,146,135.71567
-975,26,135.830956
-347,654,138.682039
-952,49,138.897135
-925,76,139.225643
-827,174,139.985271
-894,107,140.443563
-954,47,140.637884
-943,58,140.883908
-929,72,141.200273
-873,128,141.793489
-987,14,141.856346
-837,164,142.569597
-945,56,142.811232
-715,286,144.062886
-948,53,144.294784
-634,367,145.889245
-525,476,147.964497
-755,246,149.033308
-939,62,149.309582
-839,162,150.03366
-885,116,150.537027
-757,244,151.600333
-238,763,154.958042
-863,138,155.572064
-797,204,156.449275
-946,55,156.686919
-858,143,157.326394
-889,112,157.828229
-988,13,157.885719
-853,148,158.54154
-866,135,159.149472
-828,173,159.918761
-990,11,159.969347
-919,82,160.337341
-647,354,161.923974
-933,68,162.230296
-10,991,166.567293
-921,80,166.910251
-670,331,168.37409
-806,195,169.225228
-898,103,169.685809
-969,32,169.823584
-562,439,171.730562
-880,121,172.258458
-651,350,173.778269
-858,143,174.415487
-488,513,176.608802
-742,259,177.746391
-899,102,178.192054
-962,39,178.359848
-850,151,179.012253
-946,55,179.247682
-982,19,179.330575
-968,33,179.475152
-886,115,179.972087
-924,77,180.305033
-784,217,181.225849
-524,477,183.321714
-977,24,183.427825
-700,301,184.74564
-718,283,185.976803
-818,183,186.772115
-870,131,187.335322
-336,665,190.20158
-852,149,190.860761
-844,157,191.539389
-971,30,191.673867
-901,100,192.114853
-952,49,192.329511
-940,61,192.600692
-954,47,192.801982
-976,25,192.90915
-888,113,193.410903
-627,374,195.027656
-620,381,196.65417
-524,477,198.737592
-796,205,199.618299
-962,39,199.785784
-791,210,200.685107
-695,306,202.030679
