# {"t_start": 1557358555.6731968, "env_id": "DeepCars-v0"} 
r,l,t
-985,16,3.330023
-993,8,3.82994
-991,10,4.366562
-992,9,4.816303
-989,12,5.298708
-988,13,5.809367
-991,10,6.24125
-991,10,6.667117
-993,8,7.052717
-993,8,7.426093
-993,8,7.800036
-991,10,8.218661
-992,9,8.614259
-992,9,9.005346
-991,10,9.429614
-993,8,9.797202
-967,34,10.865305
-983,18,11.510189
-993,8,11.882062
-993,8,12.240575
-982,19,12.901191
-988,13,13.407827
-993,8,13.779763
-988,13,14.282446
-977,24,15.082027
-986,15,15.637921
-988,13,16.134428
-993,8,16.50337
-991,10,16.929363
-989,12,17.403334
-988,13,17.906085
-984,17,18.519122
-989,12,19.131516
-992,9,19.53565
-987,14,20.069658
-991,10,20.490622
-990,11,20.943608
-980,21,21.659971
-984,17,22.274091
-992,9,22.66216
-990,11,23.114431
-993,8,23.487775
-990,11,23.934693
-990,11,24.382234
-985,16,24.963444
-987,14,25.489544
-992,9,25.883153
-992,9,26.278061
-993,8,26.64548
-993,8,27.006939
-993,8,27.376456
-987,14,27.908031
-983,18,28.539279
-984,17,29.14919
-993,8,29.517099
-980,21,30.232624
-989,12,30.695296
-992,9,31.09229
-991,10,31.517954
-993,8,31.888767
-990,11,32.340615
-973,28,33.244077
-983,18,33.88162
-989,12,34.354067
-991,10,34.766179
-978,23,35.537502
-988,13,36.036666
-984,17,36.712936
-993,8,37.140862
-990,11,37.59083
