% time spent exploring,episodes,mean 100 episode reward,steps
99,100,9.8,1168
99,200,10.7,2440
99,300,10.7,3714
99,400,10.2,4936
99,500,9.9,6128
99,600,10.4,7363
99,700,9.9,8557
99,800,10.0,9755
98,900,9.7,10927
98,1000,10.8,12208
98,1100,10.2,13433
98,1200,9.8,14617
98,1300,9.4,15753
98,1400,10.4,16996
98,1500,9.4,18131
98,1600,9.8,19311
97,1700,10.0,20515
97,1800,9.8,21697
97,1900,10.7,22971
97,2000,9.6,24134
97,2100,9.9,25323
97,2200,9.8,26507
97,2300,9.6,27666
97,2400,9.3,28796
97,2500,10.0,29993
96,2600,10.3,31224
96,2700,9.7,32398
96,2800,9.8,33575
96,2900,10.6,34837
96,3000,10.3,36065
96,3100,9.9,37253
96,3200,10.7,38524
96,3300,9.7,39698
95,3400,11.0,41003
95,3500,10.5,42255
95,3600,11.0,43551
95,3700,10.3,44778
95,3800,11.0,46082
95,3900,9.6,47239
95,4000,10.1,48450
95,4100,10.4,49691
95,4200,10.2,50916
94,4300,10.4,52152
94,4400,10.1,53362
94,4500,11.0,54661
94,4600,11.0,55964
94,4700,10.2,57187
94,4800,10.6,58446
94,4900,11.1,59754
94,5000,10.7,61024
93,5100,10.1,62233
93,5200,9.5,63382
93,5300,9.9,64569
93,5400,10.3,65797
93,5500,10.7,67067
93,5600,10.2,68285
93,5700,9.5,69435
93,5800,9.4,70578
92,5900,10.4,71820
92,6000,10.4,73058
92,6100,10.9,74346
92,6200,10.6,75611
92,6300,10.9,76899
92,6400,10.7,78169
92,6500,10.2,79389
92,6600,10.2,80607
91,6700,10.4,81845
91,6800,9.5,82991
91,6900,10.8,84266
91,7000,10.6,85523
91,7100,10.6,86780
91,7200,9.9,87972
91,7300,10.5,89224
91,7400,10.8,90499
91,7500,11.0,91798
90,7600,10.3,93030
90,7700,10.7,94302
90,7800,10.8,95584
90,7900,10.7,96854
90,8000,10.5,98107
90,8100,10.1,99319
90,8200,10.5,100568
90,8300,11.3,101900
89,8400,10.9,103193
89,8500,11.2,104513
89,8600,10.5,105765
89,8700,11.6,107129
89,8800,10.4,108370
89,8900,10.4,109610
89,9000,10.7,110882
89,9100,11.3,112212
88,9200,10.1,113419
88,9300,10.4,114664
88,9400,10.7,115931
88,9500,10.6,117188
88,9600,10.7,118458
88,9700,10.8,119733
88,9800,10.8,121016
88,9900,11.0,122311
87,10000,10.0,123513
87,10100,10.4,124748
87,10200,11.2,126067
87,10300,10.8,127346
87,10400,10.9,128640
87,10500,11.0,129943
87,10600,10.7,131211
87,10700,11.1,132525
86,10800,9.8,133707
86,10900,9.7,134878
86,11000,10.3,136107
86,11100,11.4,137442
86,11200,10.0,138646
86,11300,10.8,139924
86,11400,10.4,141165
86,11500,10.2,142383
85,11600,10.8,143661
85,11700,10.5,144913
85,11800,11.1,146226
85,11900,9.7,147400
85,12000,11.3,148731
85,12100,11.0,150034
85,12200,11.3,151366
85,12300,11.5,152717
84,12400,11.4,154053
84,12500,11.7,155425
84,12600,11.5,156773
84,12700,10.7,158042
84,12800,10.3,159269
84,12900,9.6,160434
84,13000,11.7,161808
84,13100,12.0,163204
83,13200,10.5,164458
83,13300,10.7,165728
83,13400,11.5,167079
83,13500,10.6,168337
83,13600,10.4,169577
83,13700,12.2,170995
83,13800,11.2,172312
