# {"t_start": 1557358652.9479482, "env_id": "DeepCars-v0"} 
r,l,t
-993,8,3.144073
-990,11,3.670578
-990,11,4.119567
-992,9,4.502165
-989,12,4.973952
-990,11,5.413728
-990,11,5.860712
-993,8,6.228756
-992,9,6.621616
-986,15,7.180133
-975,26,8.026951
-991,10,8.438291
-992,9,8.830065
-984,17,9.432335
-988,13,9.926579
-987,14,10.443922
-991,10,10.868173
-988,13,11.365807
-990,11,11.817577
-993,8,12.187348
-981,20,12.876987
-988,13,13.381895
-984,17,13.988664
-991,10,14.416698
-988,13,14.916732
-992,9,15.316019
-987,14,15.846813
-980,21,16.558581
-988,13,17.063297
-989,12,17.53202
-985,16,18.114557
-984,17,18.72511
-992,9,19.113822
-993,8,19.480639
-992,9,19.877778
-993,8,20.248323
-993,8,20.613577
-989,12,21.077307
-993,8,21.438722
-990,11,21.885613
-993,8,22.253283
-985,16,22.843079
-993,8,23.209077
-980,21,23.9256
-991,10,24.345599
-981,20,25.032036
-989,12,25.507697
-992,9,25.899409
-993,8,26.267888
-986,15,26.818235
-992,9,27.216037
-984,17,27.82858
-987,14,28.360633
-988,13,28.959866
-992,9,29.361784
-986,15,29.919208
-991,10,30.33514
-986,15,30.887197
-990,11,31.33708
-990,11,31.787863
-992,9,32.167437
-990,11,32.616355
-993,8,32.97847
-992,9,33.373468
-993,8,33.740817
-992,9,34.134881
-983,18,34.772103
-991,10,35.193394
-988,13,35.693741
-983,18,36.329652
-992,9,36.722848
-980,21,37.424863
-992,9,37.819491
-992,9,38.216421
-993,8,38.585496
-990,11,39.024728
-993,8,39.390876
-990,11,39.907499
-988,13,40.506429
-991,10,41.029346
-985,16,41.640862
-989,12,42.115825
-990,11,42.562407
-984,17,45.75523
-993,8,47.97552
-991,10,50.704295
-993,8,52.921909
-991,10,55.640116
-986,15,59.696765
-983,18,64.482851
-990,11,67.476291
-992,9,69.975803
-985,16,74.258394
-991,10,76.996879
-986,15,81.012785
-992,9,83.541894
-993,8,85.808658
-993,8,88.075703
-991,10,90.878749
-989,12,94.146631
-989,12,97.409435
-993,8,99.627931
-990,11,102.604383
-989,12,105.83081
-991,10,108.550038
-992,9,111.00238
-979,22,116.812315
-990,11,119.859484
-990,11,122.878224
-993,8,125.146493
-992,9,127.660612
-992,9,130.21551
-991,10,133.053534
-993,8,135.358396
-993,8,137.647834
-986,15,141.706545
-993,8,143.956136
-992,9,146.469406
-991,10,149.220165
-990,11,152.223298
-985,16,156.514235
-991,10,159.260749
-991,10,162.015688
-990,11,165.014281
-993,8,167.245763
-993,8,169.47793
-991,10,172.222042
-992,9,174.864728
-990,11,178.022889
-991,10,180.957537
-990,11,184.122874
-989,12,187.4013
-992,9,189.89434
-993,8,192.134979
-991,10,194.875184
-989,12,198.14122
-992,9,200.62156
-986,15,204.650665
-993,8,206.999685
-993,8,209.323513
-992,9,211.957893
-991,10,214.748621
-988,13,218.271858
-987,14,222.163184
-993,8,224.538004
-992,9,227.022318
-993,8,229.248985
-989,12,232.483791
-993,8,234.709099
-990,11,237.680894
-989,12,241.010738
-991,10,243.749926
-993,8,245.979928
-993,8,248.202556
-989,12,251.429134
-993,8,253.654813
-993,8,255.892115
-992,9,258.351511
-992,9,260.81944
-990,11,263.805537
-982,19,268.806544
-988,13,272.280331
-992,9,274.772893
-988,13,278.27377
-989,12,281.499449
-993,8,283.71226
-992,9,286.171431
-993,8,288.387842
-960,41,298.928653
-990,11,301.896286
-993,8,304.101907
-980,21,309.585988
-991,10,312.302452
-990,11,315.267589
-992,9,317.736668
-983,18,322.471969
-991,10,325.180056
-987,14,328.896745
-989,12,332.10021
-992,9,334.550454
-992,9,336.999588
-991,10,339.754984
-989,12,343.009372
-987,14,346.766428
-993,8,348.990915
-989,12,352.244413
-993,8,354.4482
-993,8,356.65425
-988,13,360.112479
-991,10,362.815938
-991,10,365.536571
-991,10,368.285473
-992,9,370.755937
-993,8,372.991951
-991,10,375.731189
-991,10,378.462344
-988,13,381.968937
-992,9,384.463609
-979,22,390.216778
-993,8,392.427942
-985,16,396.663424
-980,21,402.14018
