# {"t_start": 1558657048.9097114, "env_id": "DeepCars-v2"} 
r,l,t
-88,13,1.18424
-98,3,1.187562
-98,3,1.190765
-95,6,1.196996
-94,7,1.203838
-93,8,1.21239
-98,3,1.215787
-89,12,1.228632
-81,20,1.249536
-98,3,1.252701
-98,3,1.255981
-93,8,1.26376
-98,3,1.267095
-93,8,1.27478
-87,14,1.288919
-95,6,1.294858
-97,4,1.299181
-79,22,1.320879
-90,11,1.331997
-93,8,1.340306
-96,5,1.34612
-98,3,1.349678
-97,4,1.354227
-96,5,1.359587
-96,5,1.365068
-86,15,1.381524
-97,4,1.386061
-97,4,1.390973
-97,4,1.395439
-96,5,1.401414
-93,8,1.410516
-98,3,1.414317
-84,17,1.433785
-84,17,1.452628
-96,5,1.458553
-98,3,1.462294
-87,14,1.478473
-93,8,1.487312
-97,4,1.492064
-97,4,1.497129
-96,5,1.502601
-95,6,1.509307
-79,22,1.534241
-95,6,1.541391
-95,6,1.548743
-89,12,1.562571
-94,7,1.570757
-95,6,1.577585
-98,3,1.58133
-93,8,1.590743
-94,7,1.598614
-97,4,1.603009
-96,5,1.608542
-97,4,1.613127
-77,24,1.639321
-93,8,1.648842
-91,10,1.660463
-96,5,1.666506
-91,10,1.678085
-97,4,1.682566
-97,4,1.687226
-97,4,1.692231
-97,4,1.697212
-91,10,1.708545
-93,8,1.717561
-93,8,1.727459
-98,3,1.731204
-98,3,1.735162
-82,19,1.756639
-93,8,1.765575
-94,7,1.772934
-98,3,1.776723
-91,10,1.787598
-98,3,1.79108
-97,4,1.795827
-85,16,1.813295
-94,7,1.821221
-98,3,1.825035
-90,11,1.83719
-93,8,1.846166
-96,5,1.85186
-90,11,1.864587
-98,3,1.868058
-98,3,1.871497
-93,8,1.880602
-93,8,1.889633
-96,5,1.895232
-84,17,1.914613
-89,12,1.928444
-90,11,1.941104
-84,17,1.960314
-97,4,1.965462
-90,11,1.978414
-95,6,1.985235
-85,16,2.003409
-98,3,2.006952
-97,4,2.011935
-92,9,2.022135
-97,4,2.027059
-95,6,2.034552
-96,5,2.040195
-98,3,2.043813
-96,5,2.049745
-95,6,2.056618
-90,11,2.068606
-98,3,2.072278
-96,5,2.078235
-95,6,2.085446
-96,5,2.091282
-91,10,2.102536
-90,11,2.114343
-98,3,2.118129
-92,9,2.127918
-93,8,2.136764
-98,3,2.140466
-97,4,2.144891
-97,4,2.149776
-97,4,2.154341
-97,4,2.159306
-95,6,2.166278
-97,4,2.170916
-88,13,2.185663
-96,5,2.191349
-92,9,2.201438
-82,19,2.222111
-89,12,2.235134
-97,4,2.239619
-95,6,2.246536
-94,7,2.254462
-96,5,2.259913
-93,8,2.268591
-89,12,2.281609
-93,8,2.290295
-98,3,2.293742
-90,11,2.40053
