% time spent exploring,episodes,mean 100 episode reward,steps
97,100,-93.3,763
95,200,-94.3,1434
92,300,-93.4,2194
90,400,-93.2,2974
87,500,-93.6,3714
85,600,-93.1,4504
82,700,-93.4,5262
79,800,-91.7,6192
77,900,-92.7,7019
74,1000,-93.9,7732
72,1100,-92.7,8564
68,1200,-91.5,9516
65,1300,-90.9,10528
62,1400,-90.8,11547
58,1500,-90.7,12578
55,1600,-90.5,13625
52,1700,-91.9,14538
48,1800,-88.6,15774
44,1900,-88.5,17022
40,2000,-88.1,18309
35,2100,-86.2,19789
29,2200,-83.8,21507
22,2300,-78.2,23792
10,2400,-65.8,27317
2,2500,127.5,50168
2,2600,188.7,79142
2,2700,142.8,103526
2,2800,162.1,129833
2,2900,138.7,153799
2,3000,160.3,179928
2,3100,135.0,203533
2,3200,166.8,230315
2,3300,140.1,254421
2,3400,104.3,274951
2,3500,116.0,296646
