% time spent exploring,episodes,mean 100 episode reward,steps
97,100,9.6,1152
95,200,9.7,2326
92,300,10.6,3586
90,400,10.2,4811
88,500,10.0,6014
85,600,11.1,7327
83,700,10.9,8618
80,800,11.5,9970
77,900,11.2,11287
75,1000,11.5,12634
72,1100,13.1,14142
69,1200,11.7,15512
66,1300,11.6,16868
63,1400,13.1,18374
60,1500,13.4,19912
57,1600,14.1,21525
54,1700,12.8,23000
51,1800,13.5,24546
48,1900,16.7,26412
44,2000,15.4,28152
40,2100,17.7,30124
37,2200,18.0,32122
32,2300,20.3,34353
27,2400,22.3,36782
22,2500,26.7,39650
16,2600,29.2,42768
3,2700,63.8,49351
2,2800,216.4,71189
2,2900,313.8,102767
2,3000,296.5,132614
2,3100,304.2,163234
2,3200,243.4,187776
2,3300,260.8,214054
2,3400,229.4,237190
2,3500,331.9,270580
2,3600,224.8,293263
2,3700,229.2,316386
2,3800,212.1,337799
2,3900,238.4,361837
2,4000,252.4,387278
2,4100,273.1,414791
2,4200,251.8,440176
2,4300,274.2,467791
2,4400,218.0,489795
