# {"t_start": 1557434148.8798387, "env_id": "DeepCars-v0"} 
r,l,t
-991,10,3.845035
-993,8,4.157187
-993,8,4.463033
-990,11,4.864701
-991,10,5.235254
-989,12,5.659055
-993,8,5.997367
-992,9,6.363455
-978,23,7.169685
-986,15,7.723377
-993,8,8.053772
-993,8,8.387001
-991,10,8.782109
-993,8,9.112193
-991,10,9.503795
-991,10,9.902757
-990,11,10.326146
-988,13,10.815527
-990,11,11.235718
-989,12,11.695242
-991,10,12.086655
-987,14,12.602669
-989,12,13.062812
-986,15,13.615896
-984,17,14.236531
-993,8,14.563975
-988,13,15.052855
-993,8,15.39074
-992,9,15.751387
-983,18,16.403034
-979,22,17.176631
-992,9,17.533108
-989,12,17.988197
-993,8,18.31579
-987,14,18.82736
-990,11,19.249102
-989,12,19.701977
-993,8,20.023279
-990,11,20.442416
-989,12,20.893812
-991,10,21.277327
-988,13,21.759743
-986,15,22.313912
-993,8,22.652031
-989,12,23.106159
-988,13,23.598857
-993,8,23.931733
-992,9,24.291917
-989,12,24.751763
-992,9,25.113611
-989,12,25.563199
-993,8,25.895471
-975,26,26.78314
-992,9,27.140851
-990,11,27.551109
-993,8,27.87102
-989,12,28.311081
-985,16,28.871362
-993,8,29.190808
-984,17,29.781024
-986,15,30.311057
-993,8,30.630839
-992,9,30.981534
-991,10,31.361016
-986,15,31.891456
-967,34,32.990655
-987,14,33.492337
-988,13,33.961286
-993,8,34.280929
-981,20,34.961428
-978,23,35.732405
-993,8,36.051032
-992,9,36.401338
-993,8,36.721225
-993,8,37.041078
-979,22,37.780994
-989,12,38.221397
-993,8,38.541064
-992,9,38.89124
-990,11,39.300866
-986,15,39.831553
-991,10,40.210823
-992,9,40.561946
-993,8,40.88136
-993,8,42.173496
-993,8,43.669648
-986,15,46.386572
-991,10,48.238085
-985,16,51.133095
-992,9,52.794473
-991,10,54.631317
-981,20,58.232881
-977,24,62.61505
-992,9,64.34762
-982,19,67.791761
-993,8,69.286375
-973,28,74.322925
-991,10,76.175566
-992,9,77.851537
-990,11,79.865047
-992,9,81.535929
-990,11,83.555884
-993,8,85.046733
-992,9,86.716003
-987,14,89.271349
-992,9,90.931727
-993,8,92.42399
-993,8,93.910814
-985,16,96.813699
-990,11,98.839589
-984,17,101.940844
-990,11,103.960014
