% time spent exploring,episodes,mean 100 episode reward,steps
98,100,-988.8,1202
97,200,-989.4,2362
96,300,-989.1,3550
95,400,-989.2,4727
94,500,-989.5,5875
93,600,-989.0,7075
91,700,-989.4,8240
90,800,-989.4,9405
89,900,-989.3,10574
88,1000,-989.6,11713
87,1100,-989.5,12865
86,1200,-988.1,14156
84,1300,-988.8,15375
83,1400,-988.8,16597
82,1500,-989.4,17752
81,1600,-988.7,18983
80,1700,-989.1,20170
79,1800,-988.6,21408
77,1900,-989.2,22591
76,2000,-989.7,23724
75,2100,-989.5,24870
74,2200,-988.9,26081
73,2300,-989.4,27243
72,2400,-989.0,28438
70,2500,-989.0,29633
69,2600,-987.9,30945
68,2700,-988.6,32190
67,2800,-988.7,33416
66,2900,-989.5,34564
64,3000,-989.3,35732
63,3100,-989.5,36882
62,3200,-988.5,38134
61,3300,-989.4,39295
60,3400,-989.3,40467
59,3500,-988.4,41724
