# {"t_start": 1557974100.5717902, "env_id": "DeepCars-v0"} 
r,l,t
-992,9,3.650302
-982,19,4.497588
-993,8,4.973874
-985,16,5.772408
-976,25,6.936739
-990,11,7.673326
-988,13,8.411625
-989,12,9.026945
-989,12,9.630632
-979,22,10.609677
-987,14,11.300096
-993,8,11.928543
-991,10,12.585406
-989,12,13.401181
-993,8,13.905436
-993,8,14.429711
-992,9,15.122972
-989,12,15.752105
-992,9,16.271337
-988,13,16.951846
-991,10,17.56425
-981,20,18.543342
-970,31,19.932069
-987,14,20.638985
-987,14,21.385941
-984,17,22.188308
