# {"t_start": 1558065493.067262, "env_id": "DeepCars-v0"} 
r,l,t
6,8,1.084202
6,8,1.091348
10,12,1.101815
6,8,1.108817
10,12,1.11937
11,13,1.130806
9,11,1.140697
9,11,1.150881
6,8,1.158937
9,11,1.171736
10,12,1.180603
7,9,1.187108
11,13,1.197728
10,12,1.210706
6,8,1.219159
10,12,1.231355
8,10,1.240291
10,12,1.250557
6,8,1.25681
10,12,1.265932
24,26,1.285152
7,9,1.292068
9,11,1.301116
19,21,1.317097
11,13,1.326541
6,8,1.332084
7,9,1.338619
6,8,1.344333
11,13,1.353719
11,13,1.362873
8,10,1.370157
11,13,1.379367
8,10,1.386357
15,17,1.398128
6,8,1.404008
18,20,1.41777
6,8,1.423594
11,13,1.432951
6,8,1.438489
9,11,1.445936
7,9,1.452178
6,8,1.457935
10,12,1.474747
18,20,1.494689
7,9,1.504375
10,12,1.517677
8,10,1.52801
11,13,1.540427
21,23,1.562485
13,15,1.577078
7,9,1.586244
10,12,1.597976
11,13,1.610587
10,12,1.622677
14,16,1.638556
22,24,1.664049
12,14,1.676986
7,9,1.684532
7,9,1.692379
14,16,1.706305
8,10,1.715625
11,13,1.727417
10,12,1.738604
8,10,1.748291
8,10,1.757571
12,14,1.770233
12,14,1.783079
7,9,1.7919
8,10,1.801135
12,14,1.81399
11,13,1.826027
8,10,1.83538
8,10,1.844871
8,10,1.854288
12,14,1.870394
8,10,1.883574
15,17,1.901319
7,9,1.914742
14,16,1.935052
7,9,1.944639
8,10,1.955411
6,8,1.964362
7,9,1.974727
28,30,2.133635
10,12,2.208013
11,13,2.286038
12,14,2.370641
6,8,2.418789
7,9,2.472577
10,12,2.545947
8,10,2.607017
19,21,2.733766
9,11,2.801604
7,9,2.857312
6,8,2.905903
6,8,2.955035
7,9,3.010652
6,8,3.058373
6,8,3.106815
23,25,3.237897
9,11,3.291074
11,13,3.369334
6,8,3.419009
8,10,3.482533
12,14,3.566464
13,15,3.658312
11,13,3.738169
14,16,3.835888
17,19,3.952954
6,8,4.002361
6,8,4.056547
16,18,4.166363
12,14,4.250888
9,11,4.318692
15,17,4.422275
9,11,4.489047
10,12,4.56369
6,8,4.611934
9,11,4.680597
7,9,4.737078
6,8,4.783576
8,10,4.846404
23,25,4.999197
6,8,5.045898
18,20,5.174167
6,8,5.212048
9,11,5.264023
7,9,5.305956
7,9,5.364289
7,9,5.419657
10,12,5.494145
8,10,5.556462
8,10,5.619277
9,11,5.686977
11,13,5.767142
6,8,5.818135
12,14,5.904496
10,12,5.977874
13,15,6.070211
8,10,6.13114
17,19,6.247828
6,8,6.299438
8,10,6.36261
11,13,6.441427
7,9,6.495682
17,19,6.624567
11,13,6.701904
13,15,6.802869
13,15,6.892992
6,8,6.942003
21,23,7.080846
11,13,7.165815
6,8,7.202721
9,11,7.259235
6,8,7.296384
11,13,7.371459
7,9,7.427939
6,8,7.477386
10,12,7.549229
9,11,7.61583
6,8,7.665445
10,12,7.740616
6,8,7.789526
18,20,7.91159
10,12,7.985974
6,8,8.034432
13,15,8.1313
16,18,8.252854
8,10,8.315902
15,17,8.419377
17,19,8.532744
19,21,8.660852
6,8,8.710972
6,8,8.766781
8,10,8.828015
10,12,8.902289
14,16,8.996419
12,14,9.083051
8,10,9.145099
15,17,9.228014
8,10,9.276113
14,16,9.365649
6,8,9.416379
7,9,9.470768
6,8,9.521517
13,15,9.606177
15,17,9.702318
14,16,9.792854
8,10,9.85136
6,8,9.88676
8,10,9.933517
6,8,9.978055
12,14,10.058209
14,16,10.149186
15,17,10.245772
6,8,10.29264
9,11,10.355878
6,8,10.402574
22,24,10.538338
8,10,10.587941
6,8,10.619684
13,15,10.701184
7,9,10.752471
7,9,10.804464
11,13,10.878202
16,18,10.980675
8,10,11.038575
13,15,11.123
21,23,11.233384
20,22,11.336884
6,8,11.387543
8,10,11.448264
6,8,11.498366
7,9,11.553025
10,12,11.630792
6,8,11.679208
7,9,11.73346
7,9,11.78951
8,10,11.851824
8,10,11.915576
8,10,11.977006
26,28,12.146156
6,8,12.195343
13,15,12.285875
7,9,12.342511
9,11,12.420722
7,9,12.474444
9,11,12.542725
7,9,12.595947
8,10,12.659221
12,14,12.74446
6,8,12.793827
9,11,12.860395
8,10,12.92661
6,8,12.976774
9,11,13.043132
6,8,13.092282
7,9,13.145933
6,8,13.186677
10,12,13.242622
23,25,13.357921
6,8,13.398944
11,13,13.470627
16,18,13.583994
15,17,13.689357
9,11,13.758341
11,13,13.837883
6,8,13.887169
7,9,13.9433
14,16,14.042973
6,8,14.092831
6,8,14.141888
16,18,14.25926
7,9,14.314287
6,8,14.363867
6,8,14.419014
15,17,14.512177
7,9,14.57186
11,13,14.643203
6,8,14.681005
7,9,14.724549
9,11,14.778029
8,10,14.827778
12,14,14.901064
17,19,14.99883
11,13,15.078138
8,10,15.135651
6,8,15.185305
