# {"t_start": 1558065463.5371034, "env_id": "DeepCars-v0"} 
r,l,t
6,8,0.914555
7,9,0.924067
14,16,0.939793
8,10,0.949436
9,11,0.95968
13,15,0.973856
13,15,0.987459
9,11,0.997655
7,9,1.006369
8,10,1.015705
15,17,1.032987
29,31,1.062426
10,12,1.074421
16,18,1.09251
6,8,1.101209
6,8,1.109934
7,9,1.119101
7,9,1.128468
6,8,1.136344
6,8,1.144327
10,12,1.156245
6,8,1.164419
7,9,1.173439
8,10,1.183345
8,10,1.193339
8,10,1.203263
13,15,1.218007
10,12,1.22962
8,10,1.239554
7,9,1.248528
11,13,1.261332
18,20,1.281022
10,12,1.293052
7,9,1.301937
8,10,1.311918
10,12,1.323776
17,19,1.342142
25,27,1.368604
8,10,1.378459
7,9,1.387647
12,14,1.401284
19,21,1.421694
8,10,1.431945
6,8,1.440089
7,9,1.449144
12,14,1.463253
6,8,1.471475
30,32,1.504108
8,10,1.514774
7,9,1.524178
7,9,1.533272
6,8,1.541276
8,10,1.55126
6,8,1.559474
8,10,1.569493
8,10,1.579405
9,11,1.590339
8,10,1.599549
6,8,1.607169
6,8,1.614676
8,10,1.62396
17,19,1.641694
6,8,1.64987
6,8,1.658216
12,14,1.671485
8,10,1.680875
11,13,1.692931
10,12,1.704067
8,10,1.713285
8,10,1.722975
44,46,1.764917
6,8,1.772662
6,8,1.780271
13,15,1.793916
7,9,1.802583
13,15,1.816607
14,16,1.831611
8,10,1.841334
9,11,1.851436
10,12,1.862782
11,13,1.875051
6,8,1.882774
8,10,1.985475
7,9,2.019067
7,9,2.054378
6,8,2.091861
6,8,2.132165
18,20,2.229718
14,16,2.310062
8,10,2.360299
8,10,2.4103
9,11,2.465661
7,9,2.511112
9,11,2.566748
14,16,2.648678
10,12,2.710192
10,12,2.771843
6,8,2.812696
13,15,2.889401
6,8,2.93246
11,13,3.002835
12,14,3.074488
6,8,3.115798
10,12,3.177628
8,10,3.229198
15,17,3.316469
6,8,3.356525
9,11,3.413468
9,11,3.469226
9,11,3.524699
23,25,3.648682
12,14,3.719561
11,13,3.783299
6,8,3.822825
6,8,3.862142
6,8,3.90372
7,9,3.939479
9,11,3.985968
8,10,4.024583
11,13,4.08541
11,13,4.151106
10,12,4.211549
7,9,4.256167
7,9,4.302815
13,15,4.375592
12,14,4.446155
10,12,4.505705
6,8,4.546247
15,17,4.630899
9,11,4.685201
9,11,4.740924
11,13,4.806279
25,27,4.942398
13,15,5.021281
24,26,5.150563
12,14,5.220008
