# {"t_start": 1558056447.5527954, "env_id": "DeepCars-v0"} 
r,l,t
-1,11,1.623203
-1,18,1.650271
-1,12,1.665938
-1,31,1.711301
-1,16,1.736134
-1,14,1.757087
-1,27,1.797064
-1,9,1.81062
-1,14,1.831803
-1,13,1.851539
-1,11,1.868664
-1,8,1.880998
-1,11,1.897606
-1,8,1.910362
-1,20,1.94021
-1,8,1.952608
-1,14,1.973875
-1,8,1.986303
-1,13,2.006598
-1,21,2.03758
-1,11,2.055047
-1,10,2.070464
-1,11,2.087918
-1,8,2.100831
-1,13,2.120573
-1,9,2.13436
-1,16,2.158967
-1,9,2.172786
-1,8,2.185303
-1,9,2.199208
-1,10,2.214664
-1,8,2.227405
-1,11,2.244082
-1,9,2.258054
-1,8,2.270872
-1,8,2.283376
-1,10,2.298762
-1,9,2.312203
-1,10,2.32784
-1,10,2.34325
-1,12,2.361535
-1,19,2.390608
-1,9,2.40461
-1,9,2.418649
-1,8,2.431301
-1,9,2.44521
-1,11,2.462437
-1,10,2.482515
-1,13,2.501724
-1,10,2.517251
-1,17,2.543057
-1,10,2.564924
-1,21,2.597288
-1,9,2.611674
-1,9,2.626085
-1,9,2.639821
-1,26,2.679714
-1,14,2.701566
-1,11,2.718725
-1,10,2.73405
-1,8,2.746582
-1,9,2.760675
-1,9,2.775217
-1,8,2.790512
-1,8,2.802407
-1,16,2.826781
-1,9,2.84091
-1,23,2.876138
-1,14,2.898033
-1,9,2.912218
-1,9,2.925812
-1,8,2.938689
-1,13,2.959185
-1,11,2.980419
-1,9,2.994299
-1,9,3.008903
-1,8,3.02165
-1,20,3.052155
-1,8,3.06485
-1,13,3.085332
-1,21,3.117446
-1,10,3.132842
-1,13,3.153485
-1,10,3.308059
-1,8,3.360066
-1,10,3.425938
-1,16,3.529402
-1,9,3.585665
-1,9,3.644036
-1,9,3.701272
-1,9,3.758736
-1,15,3.858749
-1,10,3.924867
-1,11,3.994046
-1,8,4.046717
-1,19,4.167044
-1,12,4.243211
-1,14,4.332658
-1,14,4.422551
-1,9,4.479869
-1,10,4.546357
-1,9,4.604276
-1,10,4.670012
-1,15,4.765324
-1,10,4.829808
-1,14,4.92188
-1,21,5.055351
-1,10,5.11972
-1,17,5.229053
-1,8,5.279439
-1,8,5.330299
-1,25,5.48996
-1,13,5.571807
-1,20,5.700867
-1,10,5.763941
-1,11,5.834279
-1,14,5.923735
-1,13,6.010757
-1,25,6.170452
-1,9,6.228252
-1,15,6.322738
-1,10,6.388035
-1,10,6.452578
-1,12,6.52829
-1,8,6.580061
-1,11,6.650717
-1,10,6.715471
-1,8,6.766219
-1,16,6.869796
-1,15,6.969261
-1,16,7.074265
-1,13,7.152034
-1,15,7.242386
-1,9,7.296837
-1,10,7.357333
-1,9,7.411295
-1,8,7.459973
-1,8,7.508766
-1,11,7.583735
-1,8,7.635699
-1,12,7.711721
-1,9,7.769725
-1,9,7.827221
-1,10,7.892664
-1,23,8.038946
-1,9,8.096626
-1,12,8.172331
-1,8,8.224449
-1,13,8.306316
-1,14,8.396816
-1,8,8.448421
-1,10,8.513723
-1,20,8.642302
-1,8,8.692905
-1,11,8.767089
-1,13,8.855166
-1,9,8.912138
-1,13,8.998076
-1,11,9.06915
-1,19,9.190262
-1,9,9.246755
-1,9,9.3048
-1,8,9.357197
-1,11,9.42708
-1,10,9.491207
-1,13,9.57437
-1,8,9.625762
-1,8,9.677492
-1,13,9.762468
-1,10,9.823575
-1,10,9.888685
-1,20,10.016373
-1,8,10.066082
-1,17,10.174722
-1,25,10.333333
-1,15,10.429124
-1,15,10.523762
-1,10,10.587245
-1,8,10.639993
-1,8,10.690063
-1,9,10.747866
-1,13,10.830433
-1,11,10.901222
-1,8,10.952848
-1,10,11.017482
-1,9,11.074465
-1,10,11.139163
-1,13,11.224052
-1,11,11.29429
-1,10,11.356947
-1,13,11.442649
-1,17,11.553509
-1,21,11.688174
-1,9,11.745215
-1,18,11.860783
-1,10,11.923458
-1,10,11.988017
-1,14,12.079864
-1,12,12.154567
-1,13,12.242893
-1,10,12.306398
-1,15,12.402415
-1,8,12.452948
-1,15,12.54815
-1,12,12.619412
-1,8,12.672858
-1,12,12.750015
-1,10,12.81257
-1,12,12.890666
-1,17,12.999876
-1,8,13.050979
-1,12,13.127394
-1,9,13.184594
-1,12,13.269983
-1,9,13.334757
-1,24,13.487617
-1,16,13.590687
-1,11,13.661856
-1,11,13.733036
-1,14,13.822829
-1,17,13.932621
-1,11,14.006366
-1,8,14.058601
-1,10,14.122186
-1,9,14.180328
-1,11,14.252391
-1,21,14.388823
-1,9,14.446406
-1,15,14.562584
-1,8,14.616615
-1,18,14.731277
-1,13,14.815076
-1,23,14.96347
-1,9,15.020728
-1,8,15.07124
-1,12,15.148102
-1,35,15.372495
-1,8,15.424707
-1,14,15.511603
-1,14,15.60109
-1,10,15.670884
-1,8,15.720411
-1,8,15.77314
-1,8,15.82343
-1,21,15.958189
-1,10,16.021941
-1,8,16.072538
-1,13,16.157799
-1,9,16.214319
-1,17,16.323499
-1,9,16.382063
-1,20,16.511631
-1,13,16.592579
-1,21,16.730378
-1,12,16.807308
-1,11,16.878563
-1,8,16.933221
-1,8,16.984761
-1,9,17.042484
-1,12,17.120093
-1,9,17.176766
-1,16,17.278131
-1,13,17.360875
-1,13,17.443846
-1,9,17.501746
-1,14,17.593089
-1,8,17.644922
-1,11,17.715625
-1,10,17.779768
-1,16,17.882593
-1,13,17.965494
-1,14,18.053322
-1,9,18.110646
-1,10,18.175673
-1,8,18.226208
-1,51,18.554128
-1,9,18.61164
-1,22,18.7526
-1,9,18.811955
-1,12,18.889016
-1,18,19.003803
-1,10,19.065688
-1,12,19.133725
-1,14,19.225582
-1,8,19.282928
-1,9,19.329189
-1,15,19.404524
-1,13,19.468904
-1,9,19.526434
-1,8,19.581913
-1,8,19.633772
-1,14,19.724016
-1,14,19.815486
-1,11,19.885044
-1,8,19.936261
-1,12,20.01269
-1,12,20.090175
-1,8,20.139968
-1,8,20.1911
-1,8,20.24423
-1,8,20.296224
-1,10,20.352356
-1,16,20.453274
-1,10,20.516682
-1,24,20.675444
-1,9,20.734034
-1,14,20.823179
-1,19,20.944645
-1,13,21.026241
-1,23,21.173792
-1,9,21.23285
-1,8,21.28431
-1,10,21.348983
-1,16,21.450954
-1,8,21.500398
-1,9,21.558397
-1,8,21.602713
-1,9,21.660257
-1,8,21.71175
-1,8,21.762686
-1,8,21.81407
-1,12,21.890815
-1,15,21.985556
-1,13,22.068415
-1,11,22.144025
-1,8,22.195352
-1,11,22.265604
-1,11,22.336292
-1,9,22.393778
-1,9,22.453938
-1,17,22.565637
-1,12,22.641746
-1,16,22.745741
-1,9,22.801682
-1,17,22.910309
-1,9,22.967326
-1,13,23.049702
-1,14,23.145007
-1,21,23.280486
-1,13,23.364188
-1,22,23.50491
-1,9,23.562631
-1,9,23.620363
-1,11,23.690392
-1,11,23.761741
-1,10,23.826565
-1,8,23.877697
-1,10,23.943106
-1,9,24.0008
-1,9,24.061707
-1,12,24.138468
-1,15,24.233311
-1,25,24.393135
-1,8,24.44567
-1,13,24.527945
-1,14,24.616571
-1,15,24.700894
-1,17,24.811314
-1,15,24.907389
-1,10,24.973446
-1,12,25.051209
-1,30,25.243605
-1,15,25.33986
-1,10,25.402194
-1,17,25.511484
-1,9,25.573358
-1,11,25.643165
-1,9,25.702813
-1,11,25.771552
-1,10,25.835339
-1,17,25.943904
-1,10,26.007094
-1,13,26.090591
-1,13,26.174532
-1,8,26.225844
-1,10,26.290144
-1,8,26.341604
-1,11,26.412395
-1,11,26.483717
-1,15,26.578846
-1,15,26.675752
-1,10,26.739947
-1,14,26.829702
-1,10,26.894605
-1,8,26.94697
-1,21,27.081886
-1,8,27.131219
-1,11,27.202327
-1,12,27.278738
-1,9,27.3367
-1,12,27.415513
-1,15,27.512165
-1,12,27.590254
-1,15,27.686776
-1,9,27.739557
-1,9,27.798224
-1,12,27.876958
-1,8,27.926238
-1,9,27.983824
-1,9,28.04352
-1,8,28.08592
-1,8,28.138684
-1,9,28.196089
-1,8,28.24762
-1,12,28.323941
-1,8,28.375346
-1,19,28.496661
-1,13,28.582788
-1,21,28.711167
-1,8,28.761725
-1,18,28.878462
-1,12,28.955997
-1,11,29.02636
-1,23,29.174046
-1,21,29.309234
-1,19,29.428313
-1,17,29.539001
-1,8,29.590019
-1,12,29.667152
-1,8,29.717912
-1,9,29.77609
-1,17,29.87334
-1,9,29.933608
-1,9,29.991766
-1,11,30.070602
-1,24,30.227667
-1,23,30.382225
-1,9,30.432096
-1,15,30.526122
-1,8,30.578006
-1,20,30.706969
-1,8,30.761966
-1,10,30.825908
-1,15,30.928647
